imdb_id,mpaa_rating,running_time,budget,opening_wkd,gross_us,awards,genres_Action,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Drama,genres_Documentary,genres_Fantasy,genres_Family,genres_History,genres_Horror,genres_Mystery,genres_Musical,genres_Music,genres_Romance,genres_Sci-Fi,genres_Sport,genres_Thriller,genres_War,genres_Western,country_United States,country_United Kingdom,country_France,country_Canada,country_India,country_other,language_English,language_French,language_Hindi,language_other,release_endtime,release_starttime,show_time_week,company,distributor
tt1212450,2,116.0,26000000.0,10001566,37397291,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2238,2226,12,co0150452,"Weinstein Company, The"
tt1217209,3,93.0,185000000.0,66323594,237282182,63,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2245,2216,29,co0226183,Walt Disney Studios Motion Pictures
tt1222815,5,78.0,,10673748,28965459,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2222,2207,15,co0236496,Disneynature
tt1226240,2,105.0,,75279,1561577,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2253,2235,18,co0309705,Entertainment One
tt1232200,2,116.0,70000000.0,13453714,36931089,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2220,2215,5,co0071509,Columbia Pictures
tt1232829,2,109.0,42000000.0,36302612,138447667,30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2217,2202,15,co0071509,Columbia Pictures
tt1234719,1,93.0,65000000.0,14276668,44800706,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,2250,2238,12,co0314851,FilmDistrict
tt1258972,2,95.0,15000000.0,7910980,15608545,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2241,2235,6,co0005073,Universal Pictures
tt1259521,2,95.0,30000000.0,14743614,42043633,29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2218,2206,12,co0173285,Lionsgate
tt1276104,2,119.0,30000000.0,20801552,66468315,44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2243,2230,13,co0110101,Sony Pictures Releasing
tt1276419,2,137.0,,38212,1545726,70,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2260,2236,24,co0134717,Magnolia Pictures
tt1277953,3,93.0,145000000.0,60316738,216366733,19,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2232,2214,18,co0023400,Paramount Pictures
tt1298649,2,102.0,68000000.0,12750297,34350553,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2232,2221,11,co0000756,Twentieth Century Fox Film Corporation
tt1307068,2,101.0,10000000.0,3822803,6619173,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2217,2216,1,co0042399,Focus Features
tt1327194,1,101.0,25000000.0,22518358,60443237,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2219,2207,12,co0026840,Warner Bros.
tt1336608,1,123.0,75000000.0,14437269,38509342,7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2223,2215,8,co0026840,Warner Bros.
tt1343727,2,95.0,50000000.0,6278491,13401683,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2234,2229,5,co0173285,Lionsgate
tt1345836,1,165.0,250000000.0,160887295,448130642,130,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2240,2220,20,co0026840,Warner Bros.
tt1366365,1,93.0,20000000.0,1831588,3749061,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,2230,2227,3,co0046206,Summit Entertainment
tt1371111,2,172.0,102000000.0,9612247,27098580,54,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2246,2234,12,co0026840,Warner Bros.
tt1386703,1,118.0,125000000.0,25577758,58877969,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2231,2222,9,co0071509,Columbia Pictures
tt1392170,1,142.0,78000000.0,152535747,407999255,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2226,2203,23,co0173285,Lionsgate
tt1397280,1,92.0,45000000.0,49514769,139852971,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2250,2231,19,co0000756,Twentieth Century Fox Film Corporation
tt1397514,3,94.0,79000000.0,27335363,103812241,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2216,2197,19,co0046718,New Line Cinema
tt1405365,2,92.0,,107785,3094687,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2240,2222,18,co0014453,Sony Pictures Classics
tt1409024,1,106.0,225000000.0,54592779,179020854,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2227,2212,15,co0071509,Columbia Pictures
tt1412386,1,124.0,10000000.0,737051,46377022,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,2233,2209,24,co0028932,Fox Searchlight Pictures
tt1417075,2,145.0,,27413,1038733,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2210,2197,13,co0014453,Sony Pictures Classics
tt1430615,3,107.0,40000000.0,7760205,20113965,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2204,2196,8,co0005073,Universal Pictures
tt1430626,3,88.0,55000000.0,11137734,31051126,19,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2222,2208,14,co0071509,Columbia Pictures
tt1433822,1,83.0,17000000.0,2955000,4930798,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2231,2225,6,co0026840,Warner Bros.
tt1435513,2,100.0,,35656,1799187,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2229,2211,18,co0014453,Sony Pictures Classics
tt1440129,1,131.0,209000000.0,25534825,65173160,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2221,2211,10,co0005073,Universal Pictures
tt1441952,1,107.0,,225894,9025107,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2213,2201,12,co0047306,CBS Films
tt1445520,3,103.0,,47528,2007451,45,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2218,2201,17,co0014453,Sony Pictures Classics
tt1446192,3,97.0,145000000.0,23773465,103400692,37,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2257,2238,19,co0023400,Paramount Pictures
tt1446714,2,124.0,130000000.0,51050101,126464904,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2228,2214,14,co0000756,Twentieth Century Fox Film Corporation
tt1456635,2,92.0,,49076,4168144,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2212,2204,8,co0219575,Magnet Releasing
tt1462769,3,105.0,,10822903,51853450,7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2245,2224,21,co0226183,Walt Disney Studios Motion Pictures
tt1477855,2,94.0,,81362,6367780,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2255,2240,15,co0042399,Focus Features
tt1482459,3,86.0,70000000.0,70217070,213949505,12,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2220,2200,20,co0005073,Universal Pictures
tt1486192,2,110.0,26000000.0,7289642,16005978,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2218,2208,10,co0123433,Rogue Pictures
tt1496025,2,88.0,70000000.0,25306725,62321039,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2200,2194,6,co0010568,Screen Gems
tt1506999,2,93.0,23000000.0,8425370,18934858,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,2202,2194,8,co0142678,Relativity Media
tt1520498,5,88.0,12000000.0,443901,1064277,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2228,2226,2,co0296096,Kenn Viselman Presents
tt1524137,2,109.0,25000000.0,24349815,66489425,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,2201,2193,8,co0005073,Universal Pictures
tt1535438,1,100.0,30000000.0,14650121,63536011,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2233,2223,10,co0071509,Columbia Pictures
tt1540128,1,105.0,35000000.0,5750288,13101142,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2250,2240,10,co0314851,FilmDistrict
