imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating
tt1409024,179000000,17.2479,92.7419,33.0608,73.2211,3.94872,20.8065,7.47973,11.9684,2.71795,2.58065,2.68919,2.62456,4.21626
tt1412386,46000000,46.6164,398.279,176.974,177.05,16.3836,68.093,35.5517,35.0756,11.1233,57.2558,28.2241,27.7731,4.60656
tt1417075,1000000,10.2778,17.3333,12.6296,12.6296,1.33333,3,1.88889,1.88889,4.16667,1.33333,3.22222,3.22222,4.6
tt1430615,20000000,342.667,396.909,361.312,345.69,40.4048,39.5,40.0938,31.27,71.6667,45.6818,62.7344,57.19,4.31455
tt1430626,31000000,39.3279,68.2727,47.4253,65.2699,6.5082,9.72727,7.96552,6.42331,9.34426,7.24242,8.65517,8.87117,3.45882
tt1433822,4900000,397.457,622.254,533.872,503.22,100.913,55.3803,73.2821,65.1489,192.739,60.5493,112.521,98.4184,2.00943
tt1435513,1800000,11.0713,39.0394,15.8744,17.7011,2.94455,4.90551,3.31811,3.41426,2.61782,4.56693,2.88581,3.00759,4.36667
tt1440129,65000000,794.744,1999.88,1060.98,1248.54,69.6463,102.48,76.5146,81.1611,168.817,198.12,175.612,163.591,4.04199
tt1441952,9000000,7.7,52.5965,31.6168,74.0286,0.32,5.49123,3.07477,6.77714,2.14,4.73684,3.52336,6.19429,4.27778
tt1445520,2000000,0.8,3.71429,1.72727,2.45833,0.0666667,0.571429,0.227273,0.375,0.133333,0.714286,0.318182,0.291667,4.08333
tt1446192,103000000,3188.92,8271.95,5672.54,6556.52,109.554,320.397,212.178,234.572,227.64,502.298,362.041,369.244,4.59419
tt1446714,126000000,1094.6,2206.65,1365.37,1772.11,98.3196,181.136,115.993,145.101,189.974,199.58,183.504,210.94,3.42542
