imdb_id,title,outline,director,writer,star,top cast
tt2097307,Hit and Run,Former getaway driver Charles Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charles' former gang chase them on the road.,David PalmerDax Shepard,Dax Shepard,Dax ShepardKristen BellBradley Cooper,Dax ShepardYul Perrkins a.k.a. Charles Bronsonas Yul Perrkins a.k.a. Charles BronsonKristen BellAnnie Beanas Annie BeanBradley CooperAlex Dmitrias Alex DmitriKristin ChenowethDebby Kreegeras Debby KreegerTom ArnoldRandy Andersonas Randy AndersonMichael RosenbaumGil Rathbinnas Gil RathbinnJess RowlandTerry Rathbinnas Terry RathbinnCarly HatterAngella Rothas Angella RothSteve AgeeDude #1as Dude #1Joy BryantNeveas NeveKal BennettCashier Mary Annas Cashier Mary AnnJohn DuffBody Builder Catalystas Body Builder CatalystDavid KoechnerSandersas SandersRyan HansenAllenas AllenBeau BridgesClint Perrkinsas Clint PerrkinsJason BatemanKeith Yertas Keith YertNate TuckPat Rickmanas Pat RickmanSean HayesSandy Ostermanas Sandy Osterman
tt2109184,Paranormal Activity 4,"It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",Henry JoostAriel Schulman,Christopher Landon(screenplay)Chad Feehan(story)Oren Peli(film "Paranormal Activity"),Stephen DunhamKatie FeatherstonMatt Shively,Stephen DunhamDougas DougKatie FeatherstonKatieas KatieMatt ShivelyBenas BenBrendon EggertsenDerekas DerekKathryn NewtonAlexas AlexAiden LovekampWyattas WyattBrady AllenRobbieas RobbieAlexondra LeeHollyas HollyGeorgica PettusSarahas SarahAlisha BoeTaraas TaraConstance EspositoRobbie's Mom's Friendas Robbie's Mom's FriendTy DawsonShadow Boyas Shadow BoyJonah PascoShadow Boyas Shadow BoyRightor DoyleRefereeas RefereeTamara BersaneWyatt's Soccer Coachas Wyatt's Soccer CoachJennifer HaleRobert ClotworthyEsther Austin
tt2112131,Dabangg 2,Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,Arbaaz Khan,Dilip Shukla,Salman KhanSonakshi SinhaPrakash Raj,Salman KhanChulbul Pandeyas Chulbul PandeySonakshi SinhaRajjo Pandeyas Rajjo PandeyPrakash RajThakur Bachchalal Singhas Thakur Bachchalal SinghVinod KhannaPrajapati Pandeyas Prajapati PandeyArbaaz KhanMakhanchand 'Makkhi' Prajapati Pandeyas Makhanchand 'Makkhi' Prajapati PandeyDeepak DobriyalGendaas GendaNikitin DheerChunnias ChunniMahie GillNirmala Pandeyas Nirmala PandeyKareena KapoorDancer (Special Appearance)as Dancer (Special Appearance)Sandeepa DharAnjalias AnjaliRam SujanConstable Chaubeyas Constable ChaubeyPradeep ChaudhryConstable Tiwarias Constable TiwariYogendra TikkuConstable Sharmaas Constable Sharma(as Yogendra Tiku)Yugal KishoreAwadh Narayanas Awadh NarayanAchyut PotdarBeni Prasadas Beni PrasadMukesh S. BhattGovindeas Govinde(as Mukesh Bhatt)Tinnu AnandMasteras MasterSubhasis ChakrabortyConstable Ravi Pappuas Constable Ravi Pappu
tt2125435,Beasts of the Southern Wild,"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",Benh Zeitlin,Lucy Alibar(screenplay)Benh Zeitlin(screenplay),Quvenzhané WallisDwight HenryLevy Easterly,Quvenzhané WallisHushpuppyas HushpuppyDwight HenryWinkas WinkLevy EasterlyJean Battisteas Jean BattisteLowell LandesWalrusas WalrusPamela HarperLittle Joas Little JoGina MontanaMiss Bathshebaas Miss BathshebaAmber HenryLZAas LZAJonshel AlexanderJoy Strongas Joy StrongNicholas ClarkBoy with Bellas Boy with BellJoseph BrownWinstonas WinstonHenry D. ColemanPeter Tas Peter TKaliana BrowerT-Louas T-LouPhilip LawrenceDr. Maloneyas Dr. MaloneyHannah HolbyOpen Arms Babysitteras Open Arms BabysitterJimmy Lee MooreSgt. Majoras Sgt. MajorJovan HathawayThe Cookas The CookKendra HarrisBaby Hushpuppyas Baby HushpuppyWindle BourgSelfas Self
tt2125608,Searching for Sugar Man,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller, Rodriguez.",Malik Bendjelloul,Malik BendjelloulStephen 'Sugar' Segerman(article 'Sugar and the Sugar Man')Craig Bartholomew Strydom(article 'Looking for Jesus'),RodriguezStephen 'Sugar' SegermanDennis Coffey,"RodriguezSelfas SelfStephen 'Sugar' SegermanSelf - Record Shop Owneras Self - Record Shop OwnerDennis CoffeySelf - Co-Producer, Cold Fact 1970as Self - Co-Producer, Cold Fact 1970Mike TheodoreSelf - Co-Producer, Cold Fact 1970as Self - Co-Producer, Cold Fact 1970Dan DiMaggioSelf - Bartender, The Breweryas Self - Bartender, The BreweryJerome FerrettiSelf - Bricklayeras Self - BricklayerSteve RowlandSelf - Producer, Coming from Reality 1971as Self - Producer, Coming from Reality 1971Willem MöllerSelf - Musicianas Self - MusicianCraig Bartholomew StrydomSelf - Music Journalistas Self - Music Journalist(as Craig Bartholomew-Strydom)Ilse AssmannSelf - Former Apartheid Archivistas Self - Former Apartheid ArchivistSteve M. HarrisSelf - Teal Trutoneas Self - Teal TrutoneRobbie MannSelf - RPM Recordsas Self - RPM RecordsClarence AvantSelf - Former Chairman of Motown Recordsas Self - Former Chairman of Motown RecordsEva RodriguezSelf - Rodriguez's Eldest Daughteras Self - Rodriguez's Eldest DaughterRegan RodriguezSelf - Rodriguez's Youngest Daughteras Self - Rodriguez's Youngest DaughterSandra Rodriguez-KennedySelf - Rodriguez's Middle Daughteras Self - Rodriguez's Middle DaughterRick EmmersonSelf - Construction Worker Colleagueas Self - Construction Worker ColleagueRian MalanSelf - Journalist and Writeras Self - Journalist and Writer"
tt2125666,The Queen of Versailles,"A documentary that follows a billionaire couple as they begin construction on a mansion inspired by Versailles. During the next two years, their empire, fueled by the real estate bubble and cheap money, falters due to the economic crisis.",Lauren Greenfield,,Jaqueline SiegelDavid SiegelLorraine Barrett,"Jaqueline SiegelSelfas SelfDavid SiegelSelfas SelfLorraine BarrettSelf - Real Estate Agentas Self - Real Estate AgentJune DownsSelf - Next Door Neighboras Self - Next Door NeighborPhillip FroehlichSelf - Vice President, West Resortsas Self - Vice President, West ResortsMarissa GaspaySelf - Nannyas Self - NannyJonquilSelf - Nieceas Self - NieceTina MartinezSelf - High School Friendas Self - High School FriendVirginia NebabSelf - Nannyas Self - NannyWendy PonceSelf - Housekeeperas Self - HousekeeperRichard SiegelSelf - Sonas Self - SonVictoria SiegelSelf - Daughteras Self - DaughterKatie StamSelf - Miss Americaas Self - Miss AmericaTerry VaughnSelf - Westgate Employeeas Self - Westgate EmployeeCliff WrightSelf - Limo Driveras Self - Limo DriverAlyse ZwickSelf - Miss New York 2009as Self - Miss New York 2009"
tt2168910,Cocktail,"A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.",Homi Adajania,Imtiaz AliSajid Ali,Saif Ali KhanDeepika PadukoneDiana Penty,Saif Ali KhanGautam Kapooras Gautam KapoorDeepika PadukoneVeronica Malaneyas Veronica MalaneyDiana PentyMeera Sahnias Meera SahniDimple KapadiaKavita Kapooras Kavita KapoorBoman IraniRandhir Malhotraas Randhir MalhotraYasmin TippettTresha Malhotraas Tresha MalhotraLottie DosanjhSara Malhotraas Sara MalhotraTina DesaiWaitress in Cafeas Waitress in Cafe(as Tena Desae)Louise BangaySusan Broadbent Malhotraas Susan Broadbent MalhotraManoj PahwaLovely Chaddaas Lovely ChaddaMia UyedaJayshree (Air Hostess)as Jayshree (Air Hostess)Tim ParkerTraveller at Airportas Traveller at AirportRay BurnetSecurity Guardas Security GuardShailesh DubeyPolice Officeras Police OfficerDean BardiniKunal's Collegueas Kunal's CollegueRandeep HoodaKunal Ahujaas Kunal AhujaCharlotte Quita JonesCharlotte (Veronica's Friend 1)as Charlotte (Veronica's Friend 1)Sophie SumnerSophie (Veronica's Friend 2)as Sophie (Veronica's Friend 2)
tt2176013,Jab Tak Hai Jaan,A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.,Yash Chopra,Aditya Chopra(story and dialogue)Devika Bhagat(screenplay),Shah Rukh KhanKatrina KaifAnushka Sharma,Shah Rukh KhanSamar Anandas Samar AnandKatrina KaifMeera Thaparas Meera ThaparAnushka SharmaAkira Raias Akira RaiAnupam KherMeera's fatheras Meera's fatherLucy PhelpsLynneas LynneJulia St JohnCatherine (Akira's Boss)as Catherine (Akira's Boss)Andrew BicknellFrankas FrankRishi KapoorImranas ImranSusan FordhamParty Guestas Party GuestVic WaghornParty Guestas Party GuestSharib HashmiSamar's Friendas Samar's FriendSarika ThakurDr. Zoya Ali Khanas Dr. Zoya Ali Khan(as Sarika)Lee Nicholas HarrisBuilderas Builder…Neetu SinghMeera's Motheras Meera's MotherAtul SharmaParty Guestas Party GuestKishore BhattParty Guestas Party GuestVarun ThakurLt. Hari Krishnanas Lt. Hari Krishnan(as Varun Thajur)Abbie MurphyNurse Montgomeryas Nurse Montgomery
tt2181931,English Vinglish,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Gauri Shinde,Gauri Shinde,SrideviAdil HussainMehdi Nebbou,"SrideviShashi Godboleas Shashi GodboleAdil HussainSatish Godboleas Satish GodboleMehdi NebbouLaurentas LaurentPriya AnandRadhaas RadhaSujata KumarManu, Shashi's sisteras Manu, Shashi's sisterSulabha DeshpandeGrandmaas GrandmaMichael Patrick HobanImmigration Officeras Immigration OfficerNavika KotiaSapna Godboleas Sapna GodboleShivansh KotiaSaagar Godboleas Saagar GodboleAshvin MatthewFather Vincentas Father VincentCory HibbsDavid Fischeras David FischerRajeev RavindranathanP Ramamurthyas P RamamurthyMaria RomanoYu Sonas Yu SonSumeet VyasSalman Khanas Salman KhanRuth AguilarEvaas EvaRoss NathanKevinas KevinDamian ThompsonUdumbkeas UdumbkeNeelu SodhiMeeraas Meera"
tt2215285,Madea's Witness Protection,A Wall Street investment banker who has been set up as the linchpin of his company's mob-backed Ponzi scheme is relocated with his family to Aunt Madea's southern home.,Tyler Perry,Tyler Perry(based on characters created by),Tyler PerryEugene LevyDenise Richards,Tyler PerryMadeaas Madea…Eugene LevyGeorge Needlemanas George NeedlemanDenise RichardsKate Needlemanas Kate NeedlemanTom ArnoldWalteras WalterDoris RobertsBarbaraas BarbaraRomeo MillerJakeas JakeJohn AmosPastor Nelsonas Pastor NelsonMarla GibbsHattieas HattieDanielle CampbellCindyas CindyDevan LeosHowieas HowieShayne AndersonTSA Agentas TSA AgentDean BalkwillAttendantas AttendantNelson BonillaAgent Mulliganas Agent MulliganFrank BrennanJack Goldenbergas Jack GoldenbergEric BrooksBellmanas BellmanDaniel BruleBike Messengeras Bike MessengerJonny ClemsonBellman #2as Bellman #2John Paul GeorgeJohn Paulas John Paul
tt2215719,Katy Perry: Part of Me,"A look at the life, career and music of singer Katy Perry as we follow her on the California Dreams World Tour.",Dan CutforthJane Lipsitz,,Katy PerryAdam MarcelloCasey Hooper,Katy PerrySelfas SelfAdam MarcelloSelf - Band Leaderas Self - Band Leader…Casey HooperSelf - Guitarsas Self - GuitarsPatrick MateraSelf - Guitarsas Self - GuitarsMax HartSelf - Keysas Self - KeysJoshua MoreauSelf - Bassas Self - BassLauren Allison BallSelf - Background Vocalsas Self - Background VocalsTasha LaytonSelf - Background Vocalsas Self - Background VocalsLeah AdlerSelf - Danceras Self - DancerLockhart BrownlieSelf - Danceras Self - DancerAnthony BurrellSelf - Danceras Self - DancerLexie ContursiSelf - Danceras Self - DancerAshley Ashida DixonSelf - Danceras Self - DancerBrandee EvansSelf - Danceras Self - DancerBryan GawSelf - Danceras Self - DancerMalik Le NostSelf - Danceras Self - Dancer(as Malik LeNost)Rachael MarkarianSelf - Danceras Self - DancerScott MyrickSelf - Danceras Self - Dancer
tt2247692,2016: Obama's America,"A documentary that examines the question, ""If Barack Obama wins a second term, where will we be in 2016?""",Dinesh D'SouzaJohn Sullivan,Dinesh D'Souza(books "The Roots of Obama's Rage" and "Obama's America")John Sullivan,Jay BastianJoe Biden(archive footage)Cait Brasel,Jay BastianSelfas SelfJoe BidenSelfas Self(archive footage)Cait BraselYoung Democrateas Young DemocrateGene Burris Jr.Stanford University College Studentas Stanford University College StudentDinesh D'SouzaSelfas SelfAlice DeweySelfas SelfLisa FoxProfessoras Professor…Zackary Steven GrahamDartmouth College Studentas Dartmouth College StudentWilly KauaiSelfas SelfPaul KengorSelfas SelfBarack ObamaSelfas Self(archive footage)George ObamaSelfas SelfSarah ObamaSelfas Self(voice)Philip OchiengSelfas SelfJoseph OjiruSelfas SelfDaniel PipesSelfas SelfShelby SteeleSelfas SelfPaul VitzSelfas Self
tt2359137,Last Ounce of Courage,"Years after his father's death, the son of a fallen soldier tries to reconnect with his grandfather, who is still grieving the loss of his son.",Darrel CampbellKevin McAfee,Darrel Campbell(book)Gina Headrick(story)Richard Headrick(book),Marshall R. TeagueJennifer O'NeillRusty Joiner,"4.1
Complicity
Watchlist
5.2
Nowhere, Michigan
Watchlist
4.7
Runaway
Watchlist
6.5
Billy: The Early Years
Watchlist
5.2
Doonby
Watchlist
5.0
The Gathering
Watchlist
4.1
The Cover Girl Murders
Watchlist
5.6
Brother White
Watchlist
4.4
Last Will
Watchlist
5.9
I'm Not Ashamed
Watchlist
3.5
Fatal Performance
Watchlist
3.2
AmeriGeddon
Watchlist"
