imdb_id,title,outline,director,writer,star,top cast
tt0383010,The Three Stooges,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality television show.",Bobby FarrellyPeter Farrelly,Mike CerroneBobby FarrellyPeter Farrelly,Sean HayesChris DiamantopoulosWill Sasso,Sean HayesLarryas LarryChris DiamantopoulosMoeas MoeWill SassoCurlyas CurlyJane LynchMother Superioras Mother SuperiorSofía VergaraLydiaas LydiaJennifer HudsonSister Rosemaryas Sister RosemaryCraig BierkoMacas MacStephen CollinsMr. Harteras Mr. HarterLarry DavidSister Mary-Mengeleas Sister Mary-MengeleKirby HeyborneTeddyas TeddyCarly CraigMrs. Harteras Mrs. HarterKate UptonSister Berniceas Sister BerniceMarianne LeoneSister Ricardaas Sister RicardaBrian Doyle-MurrayMonsignor Ratliffeas Monsignor RatliffeMike 'The Situation' SorrentinoThe Situationas The Situation(as Michael Sorrentino)Nicole PolizziSnookias SnookiJenni FarleyJWowwas JWoww(as Jenni 'JWoww' Farley)Ronnie MagroRonnieas Ronnie
tt0401729,John Carter,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",Andrew Stanton,Andrew Stanton(screenplay by)Mark Andrews(screenplay by)Michael Chabon(screenplay by),Taylor KitschLynn CollinsWillem Dafoe,Taylor KitschJohn Carteras John CarterLynn CollinsDejah Thorisas Dejah ThorisWillem DafoeTars Tarkasas Tars TarkasSamantha MortonSolaas SolaThomas Haden ChurchTal Hajusas Tal HajusMark StrongMatai Shangas Matai ShangCiarán HindsTardos Morsas Tardos Mors(as Ciaran Hinds)Dominic WestSab Thanas Sab ThanJames PurefoyKantos Kanas Kantos KanBryan CranstonPowellas PowellPolly WalkerSarkojaas SarkojaDaryl SabaraEdgar Rice Burroughsas Edgar Rice BurroughsArkie ReeceStayman #1as Stayman #1…Davood GhadamiStayman #3as Stayman #3Pippa NixonLightmasteras LightmasterJames EmbreeThern #2as Thern #2Philip PhilmarThern #1as Thern #1Figs JackmanMan in the Bowleras Man in the Bowler
tt0431021,The Possession (I),"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",Ole Bornedal,Juliet SnowdenStiles WhiteLeslie Gornstein(article "Jinx in a Box"),Natasha CalisJeffrey Dean MorganKyra Sedgwick,Natasha CalisEmas EmJeffrey Dean MorganClydeas ClydeKyra SedgwickStephanieas StephanieMadison DavenportHannahas HannahMatisyahuTzadokas TzadokGrant ShowBrettas BrettRob LaBelleRussellas RussellNana GbewonyoDariusas DariusAnna HaganEleanoras EleanorBrenda CrichlowMiss Shandyas Miss Shandy(as Brenda M. Crichlow)Jay BrazeauProfessor McMannisas Professor McMannisIris QuinnDoctoras DoctorGraeme DuffyLab Techas Lab TechDavid HovanAdanas AdanChris ShieldsAssistant Coachas Assistant CoachAdam YoungPrestonas PrestonJim ThorburnFirst Responderas First ResponderQuinn LordStudentas Student
tt0443272,Lincoln,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Steven Spielberg,Tony Kushner(screenplay by)Doris Kearns Goodwin(based in part on the book "Team of Rivals: The Political Genius of Abraham Lincoln" by),Daniel Day-LewisSally FieldDavid Strathairn,Daniel Day-LewisAbraham Lincolnas Abraham LincolnSally FieldMary Todd Lincolnas Mary Todd LincolnDavid StrathairnWilliam Sewardas William SewardJoseph Gordon-LevittRobert Lincolnas Robert LincolnJames SpaderW.N. Bilboas W.N. BilboHal HolbrookPreston Blairas Preston BlairTommy Lee JonesThaddeus Stevensas Thaddeus StevensJohn HawkesRobert Lathamas Robert LathamJackie Earle HaleyAlexander Stephensas Alexander StephensBruce McGillEdwin Stantonas Edwin StantonTim Blake NelsonRichard Schellas Richard SchellJoseph CrossJohn Hayas John HayJared HarrisUlysses S. Grantas Ulysses S. GrantLee PaceFernando Woodas Fernando WoodPeter McRobbieGeorge Pendletonas George PendletonGulliver McGrathTad Lincolnas Tad LincolnGloria ReubenElizabeth Keckleyas Elizabeth KeckleyJeremy StrongJohn Nicolayas John Nicolay
tt0454876,Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,Yann Martel(novel)David Magee(screenplay),Suraj SharmaIrrfan KhanAdil Hussain,Suraj SharmaPi Patelas Pi PatelIrrfan KhanAdult Pi Patelas Adult Pi PatelAdil HussainSantosh Patelas Santosh PatelTabuGita Patelas Gita PatelAyush TandonPi Patel (11-12 Years)as Pi Patel (11-12 Years)Gautam BelurPi Patel (5 Years)as Pi Patel (5 Years)Ayaan KhanRavi Patel (7 Years)as Ravi Patel (7 Years)Mohd. Abbas KhaleeliRavi Patel (13-14 Years)as Ravi Patel (13-14 Years)Vibish SivakumarRavi Patel (18-19 Years)as Ravi Patel (18-19 Years)Rafe SpallWriteras WriterGérard DepardieuCookas CookJames SaitoOlder Insurance Investigatoras Older Insurance InvestigatorJun NaitoYounger Insurance Investigatoras Younger Insurance InvestigatorAndrea Di StefanoPriestas PriestShravanthi SainathAnandias AnandiElie AloufMamajias MamajiPadmini RamachandranDance Masteras Dance MasterT.M. Karthik SrinivasanScience Teacheras Science Teacher(as T.M. Karthik)
tt0485985,Red Tails,"A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard.",Anthony Hemingway,"John Ridley(story)Aaron McGruder(screenplay)John B. Holway(book ""Red Tails, Black Wings: The Men of America's Black Air Force"")",Cuba Gooding Jr.Gerald McRaneyDavid Oyelowo,Cuba Gooding Jr.Major Emanuelle Stanceas Major Emanuelle StanceGerald McRaneyMajor General Luntzas Major General LuntzDavid OyelowoJoe 'Lightning' Littleas Joe 'Lightning' LittleAndre RoyoAntwan 'Coffee' Colemanas Antwan 'Coffee' ColemanTerrence HowardColonel A.J. Bullardas Colonel A.J. BullardNate ParkerMarty 'Easy' Julianas Marty 'Easy' JulianTristan Mack WildsRay 'Junior' Gannonas Ray 'Junior' Gannon(as Tristan Wilds)Ne-YoAndrew 'Smokey' Salemas Andrew 'Smokey' SalemElijah KelleySamuel 'Joker' Georgeas Samuel 'Joker' GeorgeMarcus T. PaulkDavid 'Deke' Watkinsas David 'Deke' WatkinsLeslie Odom Jr.Declan 'Winky' Hallas Declan 'Winky' HallMichael B. JordanMaurice Wilsonas Maurice WilsonKevin PhillipsLeon 'Neon' Edwardsas Leon 'Neon' EdwardsMethod ManSticksas Sticks(as Cliff Smith)Bryan CranstonColonel William Mortamusas Colonel William MortamusLee TergesenColonel Jack Tomlinsonas Colonel Jack TomlinsonDaniela RuahSofiaas SofiaPaul FoxMilleras Miller
tt0763831,A Thousand Words (I),"After stretching the truth on a deal with a spiritual guru, literary agent Jack McCall finds a Bodhi tree on his property. Its appearance holds a valuable lesson on the consequences of every word he speaks.",Brian Robbins,Steve Koren,Eddie MurphyCliff CurtisKerry Washington,Eddie MurphyJack McCallas Jack McCallCliff CurtisDr. Sinjaas Dr. SinjaKerry WashingtonCaroline McCallas Caroline McCallClark DukeAaron Wisebergeras Aaron WisebergerEmanuel RagsdaleTyler McCallas Tyler McCallJill BaseyWoman in Starbucksas Woman in StarbucksGreg CollinsConstruction Workeras Construction WorkerRobert LeQuangStarbucks Customeras Starbucks CustomerMichael G. WilkinsonStarbucks Customeras Starbucks CustomerLyndsey NelsonStarbucks Customeras Starbucks CustomerMichael Cody GilbertStarbucks Customeras Starbucks CustomerLou SalibaShrinkas ShrinkJohn GatinsValetas ValetMitchell FinkMale Agentas Male AgentEdi PattersonYoung Female Agentas Young Female AgentAllison JanneySamantha Davisas Samantha DavisEmily A. BurtonCrying Studentas Crying Student(as Emily Burton)Tracy MulhollandYoung Studentas Young Student
tt0770802,Samsara (I),"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",Ron Fricke,Ron Fricke(concept and treatment written by)Mark Magidson(concept and treatment written by),Balinese Tari Legong DancersNi Made Megahadi PratiwiPuti Sri Candra Dewi,"Balinese Tari Legong DancersDancers: Indonesiaas Dancers: IndonesiaNi Made Megahadi PratiwiDancer: Valinese Tari Legong Dancers, Indonesiaas Dancer: Valinese Tari Legong Dancers, IndonesiaPuti Sri Candra DewiDancer: Valinese Tari Legong Dancers, Indonesiaas Dancer: Valinese Tari Legong Dancers, IndonesiaPutu Dinda PratikaDancer: Valinese Tari Legong Dancers, Indonesiaas Dancer: Valinese Tari Legong Dancers, IndonesiaMarcos LunaTattoo Daddy: USAas Tattoo Daddy: USAHiroshi IshiguroProfessor and Robot Clone: Japanas Professor and Robot Clone: Japan(as Prof. Hiroshi Ishiguro)Olivier De SagazanMan At Desk: Franceas Man At Desk: FranceLadyboys of Cascade BarDancers: Thailandas Dancers: ThailandKikumaruGeisha: Japanas Geisha: JapanCrisanto NeireLead Singer: Cebu Provincial Detenton Center, Philippinesas Lead Singer: Cebu Provincial Detenton Center, PhilippinesRobert HenlineU>S> Army Veteran: USAas U>S> Army Veteran: USA(as Staff Sergeant Robert Henline)Patrick DisantoSelfas SelfTai LihuaLead Dancer: 1000 Habds Goddess Dance, Chinaas Lead Dancer: 1000 Habds Goddess Dance, China(as Iai Lihua)Collin Alfredo St. DicSelfas Self(as Collin St. Dic)…"
tt0790724,Jack Reacher,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,Christopher McQuarrie,Lee Child(based on the book "One Shot" by)Christopher McQuarrie(written for the screen by),Tom CruiseRosamund PikeRichard Jenkins,Tom CruiseReacheras ReacherRosamund PikeHelenas HelenRichard JenkinsRodinas RodinWerner HerzogThe Zecas The ZecDavid OyelowoEmersonas EmersonJai CourtneyCharlieas CharlieVladimir SizovVladas VladJoseph SikoraBarras BarrMichael Raymond-JamesLinskyas LinskyAlexia FastSandyas SandyJosh HelmanJebas JebRobert DuvallCashas CashJames Martin KellyRob Farrioras Rob FarriorDylan KussmanGaryas GaryDenver MilordPunkas PunkSusan AngeloOline Archeras Oline ArcherJulia YorksChrissie Farrioras Chrissie FarriorNicole ForesterNancy Holtas Nancy Holt
tt0837562,Hotel Transylvania,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.",Genndy Tartakovsky,Peter Baynham(screenplay by)Robert Smigel(screenplay by)Todd Durham(story by),Adam Sandler(voice)Kevin James(voice)Andy Samberg(voice),Adam SandlerDraculaas Dracula(voice)Kevin JamesFrankensteinas Frankenstein(voice)Andy SambergJonathanas Jonathan(voice)Selena GomezMavisas Mavis(voice)Fran DrescherEuniceas Eunice(voice)Steve BuscemiWayneas Wayne(voice)Molly ShannonWandaas Wanda(voice)David SpadeGriffinas Griffin(voice)CeeLo GreenMurrayas Murray(voice)Jon LovitzQuasimodoas Quasimodo(voice)Brian GeorgeSuit of Armoras Suit of Armor(voice)LuenellShrunken Headsas Shrunken Heads(voice)Brian StackPilotas Pilot(voice)Chris ParnellFlyas Fly(voice)Jackie SandlerMarthaas Martha(voice)Sadie SandlerWinnieas Winnie(voice)…Robert SmigelFake Draculaas Fake Dracula(voice)…Rob RiggleSkeleton Husbandas Skeleton Husband(voice)
tt0848228,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,Joss Whedon(screenplay)Zak Penn(story),Robert Downey Jr.Chris EvansScarlett Johansson,Robert Downey Jr.Tony Starkas Tony Stark…Chris EvansSteve Rogersas Steve Rogers…Scarlett JohanssonNatasha Romanoffas Natasha Romanoff…Jeremy RennerClint Bartonas Clint Barton…Mark RuffaloBruce Banneras Bruce Banner…Chris HemsworthThoras ThorTom HiddlestonLokias LokiClark GreggAgent Phil Coulsonas Agent Phil CoulsonCobie SmuldersAgent Maria Hillas Agent Maria HillStellan SkarsgårdSelvigas SelvigSamuel L. JacksonNick Furyas Nick FuryGwyneth PaltrowPepper Pottsas Pepper PottsPaul BettanyJarvisas Jarvis(voice)Alexis DenisofThe Otheras The OtherTina BenkoNASA Scientistas NASA ScientistJerzy SkolimowskiGeorgi Luchkovas Georgi LuchkovKirill NikiforovWeaselly Thugas Weaselly ThugJeff WolfeTall Thugas Tall Thug
tt0903624,The Hobbit: An Unexpected Journey,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Peter Jackson,Fran Walsh(screenplay)Philippa Boyens(screenplay)Peter Jackson(screenplay),Martin FreemanIan McKellenRichard Armitage,Martin FreemanBilboas BilboIan McKellenGandalfas GandalfRichard ArmitageThorinas ThorinAndy SerkisGollumas GollumKen StottBalinas BalinGraham McTavishDwalinas DwalinWilliam KircherBifuras Bifur…James NesbittBofuras BofurStephen HunterBomburas BomburDean O'GormanFilias FiliAidan TurnerKilias KiliJohn CallenOinas OinPeter HambletonGloinas Gloin…Jed BrophyNorias NoriMark HadlowDorias Dori…Adam BrownOrias OriIan HolmOld Bilboas Old BilboElijah WoodFrodoas Frodo
tt0938330,Silent Hill: Revelation 3D,"When her adoptive father disappears, Sharon Da Silva is drawn into a strange and terrifying alternate reality that holds answers to the horrific nightmares that have plagued her since childhood.",M.J. Bassett,M.J. BassettLaurent Hadida(adapted by)Hiroyuki Owaku(story "Silent Hill 3"),Adelaide ClemensKit HaringtonSean Bean,Adelaide ClemensHeatheras Heather…Kit HaringtonVincentas VincentSean BeanHarryas HarryCarrie-Anne MossClaudia Wolfas Claudia WolfRadha MitchellRose Da Silvaas Rose Da SilvaMalcolm McDowellLeonardas LeonardMartin DonovanDouglasas DouglasDeborah Kara UngerDahliaas DahliaRoberto CampanellaRed Pyramidas Red PyramidErin PittSharonas Sharon…Peter OuterbridgeTravis Gradyas Travis GradyJefferson BrownDetective Santinias Detective SantiniMilton BarnesDetective Cableas Detective CableHeather MarksSukias SukiRachel SellanMannequin Girlas Mannequin GirlRoman LebeauBusiness Manas Business Man(as Michel C. Foucault)Arlene DuncanTeacheras TeacherJason BestThe Butcheras The Butcher
tt0948470,The Amazing Spider-Man,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Marc Webb,James Vanderbilt(screenplay)Alvin Sargent(screenplay)Steve Kloves(screenplay),Andrew GarfieldEmma StoneRhys Ifans,Andrew GarfieldSpider-Manas Spider-Man…Emma StoneGwen Stacyas Gwen StacyRhys IfansThe Lizardas The Lizard…Irrfan KhanRajit Rathaas Rajit RathaDenis LearyCaptain Stacyas Captain StacyMartin SheenUncle Benas Uncle BenSally FieldAunt Mayas Aunt MayCampbell ScottRichard Parkeras Richard ParkerEmbeth DavidtzMary Parkeras Mary ParkerChris ZylkaFlash Thompsonas Flash ThompsonMax CharlesPeter Parker (Age 4)as Peter Parker (Age 4)C. Thomas HowellJack's Fatheras Jack's FatherJake KeifferJackas Jack(as Jake Ryan Keiffer)Kari ColemanHelen Stacyas Helen StacyMichael BarraStore Clerkas Store ClerkLeif GantvoortCash Register Thiefas Cash Register ThiefAndy PessoaGordonas GordonHannah MarksMissy Kallenbackas Missy Kallenback
tt0975645,Hitchcock,The relationship between Alfred Hitchcock and his wife Alma Reville during the filming of Psycho (1960) in 1959 is explored.,Sacha Gervasi,John J. McLaughlin(screenplay)Stephen Rebello(book "Alfred Hitchcock and the Making of Psycho"),Anthony HopkinsHelen MirrenScarlett Johansson,Anthony HopkinsAlfred Hitchcockas Alfred HitchcockHelen MirrenAlma Revilleas Alma RevilleScarlett JohanssonJanet Leighas Janet LeighDanny HustonWhitfield Cookas Whitfield CookToni CollettePeggyas PeggyMichael StuhlbargLew Wassermanas Lew WassermanMichael WincottEd Geinas Ed GeinJessica BielVera Milesas Vera MilesJames D'ArcyAnthony Perkinsas Anthony PerkinsRichard PortnowBarney Balabanas Barney BalabanKurtwood SmithGeoffrey Shurlockas Geoffrey ShurlockRalph MacchioJoseph Stefanoas Joseph StefanoKai LennoxHilton Greenas Hilton GreenTara SummersRita Riggsas Rita RiggsWallace LanghamSaul Bassas Saul BassPaul SchackmanBernard Herrmannas Bernard HerrmannCurrie GrahamPR Flackas PR FlackSpencer GarrettGeorge Tomasinias George Tomasini
tt1024648,Argo,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",Ben Affleck,Chris Terrio(screenplay by)Tony Mendez(based on a selection from "The Master of Disguise" by)Joshuah Bearman(based on the Wired Magazine article "The Great Escape" by),Ben AffleckBryan CranstonJohn Goodman,Ben AffleckTony Mendezas Tony MendezBryan CranstonJack O'Donnellas Jack O'DonnellJohn GoodmanJohn Chambersas John ChambersAlan ArkinLester Siegelas Lester SiegelVictor GarberKen Tayloras Ken TaylorTate DonovanBob Andersas Bob AndersClea DuVallCora Lijekas Cora LijekScoot McNairyJoe Staffordas Joe StaffordRory CochraneLee Schatzas Lee SchatzChristopher DenhamMark Lijekas Mark LijekKerry BishéKathy Staffordas Kathy StaffordKyle ChandlerHamilton Jordanas Hamilton JordanChris MessinaMalinovas MalinovZeljko IvanekRobert Penderas Robert PenderTitus WelliverBatesas BatesKeith SzarabajkaAdam Engellas Adam EngellBob GuntonCyrus Vanceas Cyrus VanceRichard KindMax Kleinas Max Klein
tt1045658,Silver Linings Playbook,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,David O. Russell(screenplay)Matthew Quick(novel "The Silver Linings Playbook"),Bradley CooperJennifer LawrenceRobert De Niro,Bradley CooperPatas PatJennifer LawrenceTiffanyas TiffanyRobert De NiroPat Sr.as Pat Sr.Jacki WeaverDolores Solitanoas Dolores SolitanoChris TuckerDannyas DannyAnupam KherDr. Cliff Patelas Dr. Cliff PatelJohn OrtizRonnieas RonnieShea WhighamJakeas JakeJulia StilesVeronicaas VeronicaPaul HermanRandyas RandyDash MihokOfficer Keoghas Officer KeoghMatthew RussellRicky D'Angeloas Ricky D'AngeloCheryl WilliamsTiffany's Motheras Tiffany's MotherPatrick McDadeTiffany's Fatheras Tiffany's Father(as Patrick Mcdade)Brea BeeNikkias NikkiMary Regency BoiesReginaas Regina(as Regency Boies)Phillip ChorbaJordieas JordieAnthony LawtonDr. Timbersas Dr. Timbers
tt1047540,Parental Guidance,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,Andy Fickman,Lisa AddarioJoe Syracuse,Billy CrystalBette MidlerMarisa Tomei,Billy CrystalArtie Deckeras Artie DeckerBette MidlerDiane Deckeras Diane DeckerMarisa TomeiAlice Simmonsas Alice SimmonsTom Everett ScottPhil Simmonsas Phil SimmonsBailee MadisonHarper Simmonsas Harper SimmonsJoshua RushTurner Simmonsas Turner SimmonsKyle BreitkopfBarker Simmonsas Barker Simmons(as Kyle Harrison Breitkopf)Jennifer Crystal FoleyCassandraas CassandraRhoda GriffisDr. Schveeras Dr. SchveerGedde WatanabeMr. Chengas Mr. ChengTony HawkTony Hawkas Tony HawkSteve LevySteve Levyas Steve LevyCade JonesIvan Halloranas Ivan HalloranMavrick MorenoCodyas CodyMadison LintzAshleyas AshleyCorey James WrightDrayton Glassas Drayton GlassJustin R. KennedyBrad Zolickas Brad Zolick(as Justin Kennedy)Fyodor CherniavskyOrchestra Conductoras Orchestra Conductor
tt1071875,Ghost Rider: Spirit of Vengeance,"Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.",Mark NeveldineBrian Taylor,Scott M. Gimple(screenplay)Seth Hoffman(screenplay)David S. Goyer(screenplay),Nicolas CageCiarán HindsIdris Elba,Nicolas CageJohnny Blazeas Johnny Blaze…Ciarán HindsRoarkeas RoarkeIdris ElbaMoreauas MoreauViolante PlacidoNadyaas NadyaJohnny WhitworthRay Carriganas Ray CarriganFergus RiordanDannyas DannySpencer WildingGrannikas GrannikSorin TofanKurdishas KurdishJacek KomanTerrokovas TerrokovAnthony HeadBenedictas BenedictCristian IacobVasilas VasilChristopher LambertMethodiusas MethodiusJai StefanKrakchevas KrakchevVincent ReganToma Nikasevicas Toma NikasevicIonut Cristian LefterYoung Johnny Blazeas Young Johnny BlazeWill AshcroftGrey Suited Manas Grey Suited ManSabina BranduseNurseas NurseTobias ÖjerfalkDude (Forest)as Dude (Forest)
tt1074638,Skyfall,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sam Mendes,Neal PurvisRobert WadeJohn Logan,Daniel CraigJavier BardemNaomie Harris,Daniel CraigJames Bondas James BondJavier BardemSilvaas SilvaNaomie HarrisEveas EveJudi DenchMas MRalph FiennesGareth Malloryas Gareth MalloryBérénice MarloheSeverineas Severine(as Bérénice Lim Marlohe)Albert FinneyKincadeas KincadeBen WhishawQas QRory KinnearTanneras TannerOla RapacePatriceas PatriceHelen McCroryClair Dowar MPas Clair Dowar MPNicholas WoodesonDoctor Hallas Doctor HallBill BuckhurstRonsonas RonsonElize du ToitVanessa (M's Assistant)as Vanessa (M's Assistant)Ian BonarMI6 Technicianas MI6 TechnicianGordon MilneM's Driveras M's DriverPeter BashamVauxhall Bridge Police Guardas Vauxhall Bridge Police GuardBen Loyd-HolmesVauxhall Bridge Police Guardas Vauxhall Bridge Police Guard
tt1077368,Dark Shadows,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",Tim Burton,Seth Grahame-Smith(screenplay)John August(story)Dan Curtis(television series),Johnny DeppMichelle PfeifferEva Green,Johnny DeppBarnabas Collinsas Barnabas CollinsMichelle PfeifferElizabeth Collins Stoddardas Elizabeth Collins StoddardEva GreenAngelique Bouchardas Angelique BouchardHelena Bonham CarterDr. Julia Hoffmanas Dr. Julia HoffmanJackie Earle HaleyWillie Loomisas Willie LoomisJonny Lee MillerRoger Collinsas Roger CollinsBella HeathcoteVictoria Wintersas Victoria Winters…Chloë Grace MoretzCarolyn Stoddardas Carolyn StoddardGulliver McGrathDavid Collinsas David Collins(as Gully McGrath)Ray ShirleyMrs. Johnsonas Mrs. JohnsonChristopher LeeClarneyas ClarneyAlice CooperAlice Cooperas Alice CooperIvan KayeJoshua Collinsas Joshua CollinsSusanna CappellaroNaomi Collinsas Naomi CollinsJosephine ButlerDavid's Motheras David's MotherWilliam HopeSheriffas SheriffShane RimmerBoard Member 1as Board Member 1Michael ShannonBoard Member 2as Board Member 2(as Michael J. Shannon)
tt1142977,Frankenweenie,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",Tim Burton,Leonard Ripps(1984 screenplay)Tim Burton(original idea)John August(screenplay),Winona Ryder(voice)Catherine O'Hara(voice)Martin Short(voice),Winona RyderElsa Van Helsingas Elsa Van Helsing(voice)Catherine O'HaraMrs. Frankensteinas Mrs. Frankenstein(voice)…Martin ShortMr. Frankensteinas Mr. Frankenstein(voice)…Martin LandauMr. Rzykruskias Mr. Rzykruski(voice)Charlie TahanVictor Frankensteinas Victor Frankenstein(voice)Atticus ShafferEdgar 'E' Goreas Edgar 'E' Gore(voice)Robert CapronBobas Bob(voice)James Hiroyuki LiaoToshiakias Toshiaki(voice)Conchata FerrellBob's Momas Bob's Mom(voice)Tom KennyNew Holland Towns Folkas New Holland Towns Folk(voice)Dee Bradley BakerPersephone van Helsingas Persephone van Helsing(voice)(uncredited)…Jeff BennettGiant Sea Monkeysas Giant Sea Monkeys(voice)(uncredited)Jon DonahueAdditional Voicesas Additional Voices(voice)(uncredited)Christopher LeeMovie Draculaas Movie Dracula(archive footage)(uncredited)Gary MartinGiant Sea Monkeysas Giant Sea Monkeys(uncredited)Melissa StriblingMovie Minaas Movie Mina(archive footage)(uncredited)Frank WelkerSparky Frankensteinas Sparky Frankenstein(voice)(uncredited)
tt1183919,Marley,"A documentary on the life, music, and legacy of Bob Marley.",Kevin Macdonald,,Bob Marley(archive footage)Ziggy MarleyRita Marley,Bob MarleySelfas Self(archive footage)Ziggy MarleySelfas SelfRita MarleySelfas SelfJimmy CliffSelfas SelfCedella MarleySelfas SelfCindy BreakspeareSelfas SelfChris BlackwellSelfas SelfLee 'Scratch' PerrySelfas Self(as Lee Perry)Danny SimsSelfas SelfEdward SeagaSelfas SelfThe WailersThemselvesas ThemselvesBunny WailerSelfas Self(as Neville Bunny Wailer Livingston)Constance MarleySelfas SelfDiane JobsonSelfas SelfPascaline Bongo OndimbaSelfas SelfLee JaffeSelfas SelfNeville GarrickSelfas SelfHugh Creek PeartSelfas Self(as Hugh Creek Sledgo Peart)
tt1194173,The Bourne Legacy,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",Tony Gilroy,Tony Gilroy(screenplay)Dan Gilroy(screenplay)Robert Ludlum(inspired by "The Bourne Series" created by),Jeremy RennerRachel WeiszEdward Norton,"Jeremy RennerAaron Crossas Aaron CrossRachel WeiszDr. Marta Shearingas Dr. Marta ShearingEdward NortonCol Eric Byer, USAF, Ret.as Col Eric Byer, USAF, Ret.Scott GlennEzra Krameras Ezra KramerStacy KeachAdm Mark Turso USN Ret.as Adm Mark Turso USN Ret.Donna MurphyDita Mandyas Dita MandyMichael ChernusArthur Ingramas Arthur IngramCorey StollZev Vendelas Zev VendelAlice GainerLean Forward MSNBC Anchoras Lean Forward MSNBC AnchorPrue LewarneCNN Reporteras CNN ReporterHoward LeaderMSNBC Man Analystas MSNBC Man AnalystJames Joseph O'NeilSterisyn-Morlanta Gatemanas Sterisyn-Morlanta GatemanTony GuidaDr. Benezaraas Dr. BenezaraSonnie BrownDr. Lieberburgas Dr. LieberburgNeil Brooks CunninghamDr. Dan Hillcottas Dr. Dan HillcottZeljko IvanekDr. Donald Foiteas Dr. Donald FoiteRobert Christopher RileyOutcome #6as Outcome #6(as Rob Riley)Noel WilsonNeuro Luncheon MCas Neuro Luncheon MC"
tt1195478,The Five-Year Engagement,"One year after meeting, Tom proposes to his girlfriend, Violet, but unexpected events keep tripping them up as they look to walk down the aisle together.",Nicholas Stoller,Jason SegelNicholas Stoller,Jason SegelEmily BluntChris Pratt,
tt1212450,Lawless,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",John Hillcoat,Nick Cave(screenplay by)Matt Bondurant(based on the book by: "The Wettest County in the World"),Tom HardyShia LaBeoufGuy Pearce,Tom HardyForrest Bondurantas Forrest BondurantShia LaBeoufJack Bondurantas Jack BondurantGuy PearceCharley Rakesas Charley RakesJason ClarkeHoward Bondurantas Howard BondurantJessica ChastainMaggie Beaufortas Maggie BeaufortMia WasikowskaBertha Minnixas Bertha MinnixDane DeHaanCricket Pateas Cricket PateChris McGarryDannyas DannyTim TolinMason Wardellas Mason WardellGary OldmanFloyd Banneras Floyd BannerLew TempleDeputy Henry Abshireas Deputy Henry AbshireMarcus HesterDeputy Jeff Richardsas Deputy Jeff RichardsBill CampSheriff Hodgesas Sheriff HodgesAlex VanTizwell Minnixas Tizwell MinnixNoah TaylorGummy Walshas Gummy WalshMark AshworthHophead #1as Hophead #1Tom ProctorHophead #2as Hophead #2Bruce McKinnonJimmy Turneras Jimmy Turner
