imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating,avg_sen_score,avg_sen_score_2,avg_sen_score_3,pos_rate,neg_rate,promotion_clusters
tt0401729,73000000,246.423,1174.97,453.284,499.134,41.5401,142.15,64.3068,67.9497,43.8467,95.925,55.4545,60.4134,4.10633,11.01949054,13.75961538,0.624443109,0.895833333,0.104166667,0
tt0431021,49000000,687.0,4141.94,1242.26,1333.31,59.6702,229.833,87.0179,75.6603,131.117,422.222,177.902,146.237,3.77974,8.718999539,12.91705069,0.276197926,0.711981567,0.288018433,0
tt0790724,80000000,1877.57,1666.11,1798.01,1516.87,171.079,131.184,156.069,119.245,165.794,105.658,143.168,116.954,4.1895,7.098016936,10.73617021,0.51807166,0.920851064,0.079148936,0
tt0848228,623000000,2399.4,16838.0,7990.43,10509.2,264.368,572.25,380.852,390.142,459.982,1268.19,783.117,889.682,4.85471,11.05618391,13.92647059,0.725226629,0.969683258,0.030316742,1
tt0938330,18000000,365.339,2365.26,481.21,915.846,26.8991,157.78,34.482,44.0163,73.3063,357.22,89.7555,123.674,3.18919,10.59634789,13.08450704,0.264208451,0.676056338,0.323943662,1
tt1071875,52000000,2302.2,2992.49,2486.31,3518.82,217.447,195.122,210.86,242.294,364.689,517.073,403.545,791.877,2.74016,4.417295333,6.916666667,0.224542667,0.686666667,0.313333333,0
tt1074638,304000000,3059.88,6059.59,4009.21,4212.93,155.113,202.602,167.975,166.167,351.769,331.379,345.946,288.178,4.42934,7.427431869,10.72791262,0.548362694,0.915776699,0.084223301,1
tt1217209,237000000,1273.88,9690.64,4966.53,7093.86,72.6566,473.157,254.95,261.177,233.071,886.747,530.084,598.544,4.42803,11.91842368,14.38877481,0.709003901,0.939767283,0.060232717,0
tt1234719,45000000,1055.99,1164.16,1046.68,1081.52,146.74,67.8824,126.643,114.406,83.8819,81.2745,78.2749,83.2512,3.78748,6.092955378,9.229083665,0.426776892,0.846613546,0.153386454,0
tt1258972,16000000,990.75,1378.79,1057.27,1005.8,86.5776,80.5417,85.5429,76.5281,163.638,105.542,153.679,137.056,3.26923,4.946963019,7.226415094,0.250223019,0.698113208,0.301886792,0
tt1259521,42000000,82.9146,494.118,216.085,678.676,16.0976,59.9216,31.5615,170.934,21.4268,57.9608,33.2154,68.8443,3.52331,3.472923292,5.22591944,0.17459282,0.630472855,0.369527145,0
tt1276104,66000000,989.557,2506.51,1664.35,1639.21,33.9754,88.2887,54.3366,56.0315,58.7049,103.536,80.9561,77.0748,4.07326,7.121705556,10.23258004,0.457066761,0.86252354,0.13747646,0
tt1343727,13000000,573.204,2181.79,877.189,1164.41,73.3786,133.292,84.7008,103.826,99.6893,195.958,117.882,128.515,4.13333,10.81156496,14.66666667,0.475991453,0.846153846,0.153846154,0
tt1345836,448000000,10754.2,23632.8,17371.5,20088.7,589.074,863.532,735.03,756.237,2711.74,3112.61,2834.37,2793.4,4.64298,8.30016446,11.16396164,0.598859867,0.920693471,0.079306529,0
tt1366365,3700000,18.0,45.2,39.8889,31.4737,2.0,5.2,4.66667,3.77632,0.0,4.5,3.22222,1.97368,2.56627,4.375952439,7.536585366,0.160406098,0.634146341,0.365853659,0
tt1386703,59000000,1421.87,3672.21,2235.82,1712.37,110.667,166.941,131.021,88.984,214.967,243.912,225.436,160.846,3.52103,9.443799027,11.94890511,0.514779075,0.851581509,0.148418491,0
tt1397280,140000000,4996.78,4660.11,4843.5,5822.29,346.94,181.643,271.683,299.06,366.179,484.768,420.171,442.293,4.04242,7.669574299,11.38831065,0.490883827,0.899919936,0.100080064,0
tt1433822,4900000,397.457,622.254,533.872,503.22,100.913,55.3803,73.2821,65.1489,192.739,60.5493,112.521,98.4184,2.00943,-2.67730404,-2.939393939,-0.099012121,0.454545455,0.545454545,0
tt1440129,65000000,794.744,1999.88,1060.98,1248.54,69.6463,102.48,76.5146,81.1611,168.817,198.12,175.612,163.591,4.04199,10.95114118,13.54981993,0.612853782,0.890756303,0.109243697,0
tt1446714,126000000,1094.6,2206.65,1365.37,1772.11,98.3196,181.136,115.993,145.101,189.974,199.58,183.504,210.94,3.42542,6.894589142,8.974452555,0.420508394,0.787408759,0.212591241,0
tt1496025,62000000,26.4267,77.7308,37.0909,65.7826,2.33333,9.80769,3.67677,6.0,5.01333,19.0385,7.81818,11.6783,4.27654,10.55940364,14.45364238,0.513140397,0.88410596,0.11589404,0
tt1506999,19000000,70.6294,240.356,111.255,132.1,12.5175,45.0889,20.3138,20.5584,6.70629,15.8222,8.8883,9.30303,2.68617,4.953538841,6.21888412,0.210954721,0.64806867,0.35193133,0
tt1524137,66000000,608.5,979.316,822.0,645.289,66.5,91.4737,80.8788,58.1184,160.571,68.6316,107.636,56.2368,4.152,8.892032939,12.86655405,0.534290034,0.913851351,0.086148649,0
tt1547234,20000000,215.219,815.6,372.281,423.3,24.9726,48.12,31.2396,27.3118,21.2603,47.36,28.125,24.4176,4.00775,11.3161963,16.3909465,0.543809877,0.913580247,0.086419753,0
tt1560985,53000000,776.275,952.068,826.766,1076.1,119.059,219.205,161.723,148.375,115.667,78.2955,95.4468,95.0139,1.94556,-0.954650226,-1.330699774,-0.107405192,0.422121896,0.577878104,0
tt1568338,19000000,151.476,325.909,211.438,240.298,16.8571,48.1818,27.625,34.1277,16.5238,16.0,16.3438,18.9787,4.16422,10.44947006,14.34745763,0.594033051,0.937853107,0.062146893,0
tt1582507,32000000,533.496,926.584,642.483,859.992,34.3534,64.427,42.6916,47.3889,26.1293,34.236,28.3769,30.2639,3.52025,5.871648544,9.093851133,0.275121683,0.747572816,0.252427184,1
tt1591479,70000000,172.846,1016.22,428.0,756.558,19.8971,69.3445,38.4491,47.6288,28.8514,112.916,55.2526,83.9663,4.69689,10.80321605,13.56751653,0.623751653,0.904627007,0.095372993,0
tt1592525,14000000,83.5246,137.25,104.68,171.922,12.3115,10.85,11.77,15.1169,18.5902,13.7,16.82,17.8571,3.35833,9.455312139,13.33526012,0.470643931,0.849710983,0.150289017,0
tt1599348,126000000,1753.0,881.387,1205.41,950.915,232.0,78.6452,140.565,94.8049,353.611,61.9032,176.891,117.28,4.30876,10.04863616,13.8563163,0.604071842,0.919961427,0.080038573,0
tt1611224,38000000,444.675,590.688,469.363,519.802,37.0042,39.5625,37.69,37.2147,46.0417,89.5938,55.45,59.1497,3.96,11.5987793,14.31182796,0.558245699,0.857526882,0.142473118,0
tt1614989,1200000,3.22222,8.34146,7.42,20.0417,0.222222,1.31707,1.12,2.41667,2.11111,0.804878,1.04,3.27778,4.46667,13.36789167,11.5,0.446708333,0.75,0.25,0
tt1646987,84000000,477.235,1057.65,760.029,954.078,71.1765,185.45,122.956,156.301,139.294,250.575,197.397,366.932,3.67368,12.4051322,14.98870056,0.533235028,0.86440678,0.13559322,0
tt1656190,17000000,166.875,730.13,349.338,747.033,30.5417,70.3043,43.4225,48.1057,66.2083,74.2609,68.8169,83.813,4.20513,9.942647794,13.29411765,0.471358088,0.830882353,0.169117647,0
tt1712170,26000000,243.431,528.062,304.973,309.765,28.7414,51.0625,33.5676,34.1235,36.6552,59.0625,41.5,42.1481,4.01417,8.91758369,11.907743,0.529314827,0.871499176,0.128500824,0
tt1726669,220000,23.45,116.639,41.6066,62.6585,3.21,10.4167,4.31967,6.88415,15.36,27.2222,18.3197,19.9878,3.38776,4.005828261,3.956521739,0.193719565,0.608695652,0.391304348,0
tt1748227,6800000,404.238,555.892,444.899,450.642,33.3564,34.4595,33.6522,34.527,48.9703,67.5135,53.942,54.0946,4.07447,4.498182418,7.450549451,0.257521978,0.747252747,0.252747253,0
tt1764651,85000000,827.133,2217.82,1394.67,1738.95,44.2,157.909,96.5833,95.9756,255.067,450.273,338.958,358.268,4.39733,11.42527398,14.74177468,0.590520738,0.908275174,0.091724826,0
tt1767382,13000000,59.0957,210.568,107.391,105.748,7.93617,47.3409,20.5,21.0272,3.39362,5.59091,4.0942,4.67347,2.14706,-4.645924375,-6.06875,-0.17878875,0.38125,0.61875,0
tt1855325,42000000,10786.1,27610.4,13972.2,14811.2,650.922,800.257,686.328,637.349,1051.46,1796.09,1206.4,1117.0,3.17765,2.613257273,4.284848485,0.203007273,0.666666667,0.333333333,1
tt1899353,4100000,79.6667,258.778,199.547,656.078,19.5417,45.4722,37.8211,54.7617,14.9583,21.2361,18.9053,54.4974,4.52414,12.03458108,16.36936937,0.43302973,0.810810811,0.189189189,0
tt1922777,48000000,884.509,4015.72,2287.03,2135.62,45.6415,247.837,136.208,127.354,116.189,271.744,185.865,178.8,3.72157,1.553765606,3.059090909,0.088093788,0.601515152,0.398484848,0
tt1991245,18000000,218.443,370.24,254.933,418.416,35.3544,76.52,45.25,55.635,55.038,44.92,52.6058,80.1971,2.80741,-1.628022951,-3.819672131,-0.067156557,0.418032787,0.581967213,0
tt2016894,1500000,4028.8,6610.6,4028.8,4623.66,321.78,639.1,321.78,307.902,395.588,566.72,395.588,429.761,4.0,12.20355323,16.69354839,0.515812903,0.870967742,0.129032258,1
tt2109184,54000000,3713.68,14017.6,4800.52,5236.81,377.358,3059.5,659.97,636.667,239.247,711.974,289.298,352.675,2.94016,2.065314425,3.708265802,0.119983955,0.622366288,0.377633712,1
tt0948470,262000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16438397,16.31902834,0.656973846,0.931983806,0.068016194,0
tt1194173,113000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.143575345,10.96640672,0.464066647,0.839232154,0.160767846,0
tt1486192,16000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.85691376,16.96825397,0.570121164,0.862433862,0.137566138,0
tt1764234,15000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7772782,-0.08,-0.063759,0.494,0.506,0
