first_pub_before_release_week,last_pub_after_out_week,first_pub_before_release,last_pub_after_out,average_post_t1,average_post_t2,average_post_t3,average_post_t4,average_post_t5,average_post_t6,average_post_t7,video_t1,video_t2,video_t3,status_t1,status_t2,status_t3,offer,swf,photo_t1,photo_t2,photo_t3,link_t1,link_t2,link_t3,question_t1,question_t2,question_t3,na_t1,na_t2,na_t3,wall_post,created_note,created_event,added_video_t1,added_video_t2,added_video_t3,mobile_status_update_t1,mobile_status_update_t2,mobile_status_update_t3,app_created_story_t1,app_created_story_t2,app_created_story_t3,added_photos_t1,added_photos_t2,added_photos_t3,shared_story_t1,shared_story_t2,shared_story_t3,promotion_clusters
2158,2306,38,97,2.868421053,6.25,22.75,6.5,10.25,1.5,0.422680412,33,23,32,41,2,8,0,0,29,29,23,116,36,25,6,1,0,6,2,0,0,0,0,5,0,0,41,2,8,0,1,0,27,26,18,146,60,62,1
2168,2303,27,97,1.666666667,10.75,18.75,5.916666667,3.5,2.5,0.237113402,16,6,15,27,7,4,0,0,22,7,15,93,45,13,5,6,0,5,7,0,0,1,1,2,0,0,27,7,4,1,5,2,16,4,15,112,46,26,1
2162,2286,33,75,1.151515152,5.75,4.0,1.058823529,0.0,0.0,0.106666667,2,2,1,26,6,1,0,0,7,0,1,42,10,5,0,0,0,0,0,0,0,0,0,0,0,0,26,6,1,0,0,0,7,0,1,44,12,6,1
2211,2284,31,20,1.64516129,5.0,1.25,1.652173913,0.5,0.5,0.05,7,1,0,3,7,0,0,0,8,3,1,58,27,4,0,0,0,1,0,0,0,0,0,1,0,0,3,7,0,0,0,0,2,2,1,69,29,4,1
2144,2306,53,95,0.754716981,4.5,21.0,10.4,2.75,0.25,0.347368421,25,30,6,5,25,0,0,2,104,69,34,8,30,5,0,0,0,5,20,0,0,0,0,5,11,1,1,9,0,0,4,0,80,43,21,51,69,23,1
2205,2303,13,76,0.307692308,5.0,21.25,6.8,2.25,5.0,0.302631579,10,2,14,16,7,0,0,0,63,44,34,20,12,4,0,3,0,10,16,2,0,1,0,1,1,0,16,6,0,3,0,0,52,31,31,27,13,19,1
2208,2294,26,48,0.5,4.75,12.5,3.153846154,1.75,5.25,0.041666667,8,6,2,7,0,0,0,0,42,15,24,25,20,4,0,0,0,1,0,4,0,0,0,0,0,0,7,0,0,0,0,0,39,13,21,35,28,5,1
2224,2305,18,46,0.055555556,0.25,3.75,3.444444444,0.5,0.0,0.065217391,2,8,1,0,0,0,0,0,13,53,2,2,1,2,0,0,0,1,1,0,0,0,0,2,8,0,0,0,0,0,0,0,12,52,2,2,1,3,1
2156,2305,73,56,0.98630137,6.25,6.0,4.571428571,3.0,0.25,0.303571429,4,13,4,2,3,1,0,0,77,78,23,38,2,2,0,0,0,5,5,2,0,0,0,0,11,0,0,0,0,0,0,0,74,75,21,42,5,7,1
1988,2305,249,52,2.212851406,6.5,9.25,8.764705882,6.25,4.5,3.403846154,77,5,11,44,0,1,0,0,353,144,204,138,0,4,2,0,0,9,0,2,0,26,8,30,4,7,40,0,1,0,0,0,342,138,200,159,7,10,1
2294,2305,-91,81,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2181,2306,15,92,2.066666667,3.5,11.75,3.842105263,0.25,0.25,0.141304348,15,7,1,27,10,1,0,0,16,32,10,21,20,3,13,4,0,13,13,0,0,0,1,0,0,0,27,10,1,0,0,0,15,25,10,37,24,4,1
2198,2303,45,46,1.688888889,3.5,14.75,7.533333333,2.5,1.25,0.347826087,27,18,1,4,1,0,1,0,109,79,28,6,11,2,3,3,0,11,7,0,0,1,0,2,6,0,4,1,0,0,0,0,97,76,27,35,22,4,1
2204,2240,13,15,2.769230769,13.0,18.5,7.444444444,2.25,3.5,0.066666667,19,5,8,31,3,0,0,0,25,20,11,85,39,5,2,0,0,5,4,2,0,0,0,4,1,0,31,3,0,0,0,0,18,15,9,104,44,13,1
2198,2258,15,31,2.2,4.5,12.75,5.066666667,8.5,0.5,0.161290323,34,15,1,2,0,1,0,0,29,20,30,33,39,9,4,2,0,10,3,0,0,1,0,7,2,1,2,0,1,2,0,0,22,16,30,59,54,9,1
2211,2252,8,32,0.0,3.0,7.0,7.5,2.75,0.5,0.65625,4,1,3,6,0,1,0,0,9,3,9,21,11,21,0,0,0,7,1,4,0,0,0,0,0,0,6,0,1,0,0,0,2,2,2,25,12,27,1
2147,2300,82,70,2.317073171,10.0,21.5,34.0,2.75,0.0,1.7,20,2,6,182,28,35,0,0,66,26,69,48,12,20,0,0,0,77,13,31,3,0,0,0,0,0,105,17,6,0,0,0,42,23,66,89,15,27,1
2192,2286,36,40,0.444444444,0.25,0.5,0.684210526,0.0,0.0,0.025,2,0,0,0,0,0,0,0,9,11,1,8,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7,9,1,9,2,0,1
2137,2302,64,77,1.53125,6.5,9.75,6.32,1.5,0.75,1.428571429,6,5,12,16,13,13,0,0,52,83,71,89,57,23,0,0,0,1,3,0,0,0,0,2,0,0,16,13,13,0,15,0,50,74,67,94,53,39,1
2198,2302,39,50,2.205128205,6.75,9.5,10.75,0.0,0.0,0.12,6,11,0,50,35,0,0,0,43,54,6,45,71,0,7,1,0,11,2,0,0,0,0,0,0,0,50,35,0,0,0,0,33,48,1,57,87,5,1
2195,2293,44,51,0.318181818,6.5,11.25,6.75,0.5,0.75,1.196078431,22,4,29,5,3,5,0,0,16,5,16,41,15,16,1,0,0,6,3,0,0,0,0,0,0,0,5,3,5,1,0,0,11,2,12,62,19,49,1
2222,2283,20,26,0.8,4.5,7.25,8.3125,0.0,0.0,0.076923077,7,18,0,3,0,0,0,0,52,114,1,1,1,1,0,0,0,3,3,0,0,0,0,6,17,0,1,0,0,0,0,0,44,108,1,9,5,1,1
2204,2241,17,10,0.352941176,0.0,2.0,3.0,0.0,4.5,1.1,4,5,7,1,2,1,0,0,6,19,12,3,5,9,0,2,0,2,2,0,0,0,0,1,0,1,1,2,1,0,0,0,4,15,12,6,14,15,1
2194,2248,8,33,0.0,2.75,5.25,4.071428571,0.5,1.0,0.060606061,2,2,0,1,4,0,0,0,8,6,0,20,45,8,1,0,0,2,0,0,0,0,1,1,0,0,1,4,0,0,0,0,7,4,0,20,49,8,1
2188,2305,11,99,0.090909091,0.0,0.75,0.875,0.0,1.0,0.04040404,2,2,1,0,0,2,0,0,2,5,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,4,3,2,2,2,1
2194,2294,33,63,0.787878788,5.75,11.75,9.4,0.0,2.0,0.873015873,16,7,9,5,1,1,0,0,42,24,40,27,14,13,6,1,0,13,4,0,0,0,0,2,0,2,5,1,1,0,0,0,39,23,40,37,19,20,1
2164,2305,79,42,3.936708861,14.25,29.5,9.761904762,0.5,1.25,0.952380952,27,14,5,116,2,1,0,0,259,165,38,75,19,3,9,5,0,54,13,1,1,0,0,2,3,0,83,0,0,1,0,0,239,153,2,106,36,44,1
2209,2304,20,58,2.8,8.75,20.25,6.722222222,1.5,0.0,0.189655172,18,20,4,16,15,1,0,0,40,36,10,91,49,2,7,1,0,10,10,0,0,1,0,6,0,1,16,15,1,0,0,0,37,28,10,103,67,5,1
2203,2299,27,61,1.851851852,3.75,10.0,2.777777778,0.0,1.5,0.114754098,14,3,1,12,1,0,0,0,61,20,9,18,1,3,0,0,0,11,1,0,0,0,0,0,0,0,3,0,0,0,0,0,56,19,6,35,5,7,1
2204,2306,20,75,1.5,8.75,15.75,5.5,7.0,13.75,0.373333333,12,4,7,5,0,1,0,0,103,38,86,8,2,17,0,0,0,6,1,2,0,0,0,0,0,5,1,0,0,0,0,0,95,37,82,26,6,22,1
2214,2263,21,13,0.380952381,0.75,5.0,4.4375,0.75,0.25,0.076923077,8,17,1,1,0,0,0,0,13,47,4,8,6,0,1,1,0,5,8,1,0,2,0,0,2,0,1,0,0,0,0,0,5,37,3,19,23,1,1
2065,2306,146,86,2.02739726,3.25,11.75,9.4,1.5,1.5,0.604651163,46,18,2,96,11,9,0,1,80,50,37,134,14,16,0,0,0,1,0,1,0,12,3,1,0,0,96,11,9,3,1,0,78,47,32,162,35,22,1
2220,2233,12,-6,0.083333333,0.0,0.5,0.5,0.0,0.0,0.0,1,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,0,1
2116,2306,93,90,1.76344086,4.75,9.25,13.75,9.25,4.25,1.811111111,17,11,15,39,23,46,0,0,62,20,50,102,56,106,0,0,0,2,0,0,0,0,0,3,0,0,39,23,46,0,0,0,60,20,50,116,67,121,1
2221,2287,8,39,0.0,3.25,3.75,2.0,0.0,0.0,0.102564103,2,0,1,0,2,0,0,0,13,14,2,13,24,1,0,0,0,5,1,0,0,0,0,2,0,0,0,2,0,0,0,0,7,7,0,14,30,4,1
2219,2290,15,46,0.666666667,2.25,3.0,3.909090909,0.25,1.5,0.304347826,4,1,2,8,7,4,0,0,8,5,9,11,30,6,0,0,0,12,3,6,0,0,0,1,0,0,0,5,1,0,0,0,1,3,4,17,32,10,1
2223,2271,6,30,0.0,0.75,5.5,3.461538462,1.0,0.25,0.466666667,5,8,2,0,0,3,0,0,17,37,14,2,0,0,1,0,0,2,3,1,0,0,0,3,3,0,0,0,3,0,0,0,14,32,10,6,7,5,1
2226,2292,17,45,0.235294118,1.0,14.25,7.2,0.25,0.75,0.355555556,16,9,4,5,3,0,0,0,25,13,16,19,11,0,0,0,0,0,0,2,0,1,0,4,0,0,5,3,0,0,0,0,24,6,14,31,27,4,1
2187,2300,30,53,0.766666667,1.0,3.0,8.129032258,8.5,7.75,0.566037736,2,13,7,4,10,1,0,0,10,158,73,23,70,14,0,1,0,1,6,3,0,0,0,0,2,0,4,10,1,0,0,0,9,151,71,25,83,20,1
2202,2304,19,27,0.157894737,0.5,1.75,2.473684211,0.0,0.0,0.037037037,1,15,0,0,5,0,0,0,2,74,0,9,46,1,0,1,0,1,1,0,0,2,0,1,6,0,0,5,0,0,0,0,1,69,0,9,58,1,1
2196,2297,24,59,0.125,1.75,3.5,5.105263158,2.0,2.75,0.355932203,2,6,3,0,0,12,0,0,8,66,19,14,25,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,12,1,0,1,6,55,19,16,39,8,1
2228,2306,9,67,1.444444444,26.25,30.5,34.66666667,27.5,22.5,2.029850746,57,24,135,0,0,0,0,0,150,60,184,29,19,15,4,1,2,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0,139,56,97,95,45,234,1
2205,2237,13,12,0.076923077,2.5,23.25,5.5,0.0,0.0,0.25,13,6,1,29,10,0,0,0,41,20,1,21,8,1,0,0,0,28,1,1,0,1,0,8,3,0,29,10,0,0,0,0,7,7,0,31,23,2,1
2202,2314,17,83,0.235294118,2.5,12.25,23.53846154,9.0,1.5,3.253012048,6,3,18,11,69,14,0,0,36,209,146,10,24,134,0,1,0,12,70,8,0,0,0,0,0,0,2,0,7,0,0,0,33,205,57,16,31,240,1
2146,2299,82,67,0.987804878,3.5,6.0,3.4,0.0,0.0,0.208955224,0,0,0,73,5,10,0,0,36,10,1,10,2,3,0,0,0,2,0,1,0,0,0,0,0,0,73,5,10,0,0,0,30,4,0,14,8,3,1
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
