first_pub_before_release_week,last_pub_after_out_week,first_pub_before_release,last_pub_after_out,average_post_t1,average_post_t2,average_post_t3,average_post_t4,average_post_t5,average_post_t6,average_post_t7,video_t1,video_t2,video_t3,status_t1,status_t2,status_t3,offer,swf,photo_t1,photo_t2,photo_t3,link_t1,link_t2,link_t3,question_t1,question_t2,question_t3,na_t1,na_t2,na_t3,wall_post,created_note,created_event,added_video_t1,added_video_t2,added_video_t3,mobile_status_update_t1,mobile_status_update_t2,mobile_status_update_t3,app_created_story_t1,app_created_story_t2,app_created_story_t3,added_photos_t1,added_photos_t2,added_photos_t3,shared_story_t1,shared_story_t2,shared_story_t3,promotion_clusters
2223,2258,13,-2,0.846153846,7.75,9.25,8.04,0.0,0.0,0.0,7,34,0,21,19,0,0,0,25,85,0,23,63,0,3,0,0,3,0,0,0,0,0,2,2,0,21,19,0,0,0,0,24,84,0,29,96,0,1
2208,2304,30,34,1.233333333,5.25,7.5,3.939393939,0.5,0.25,0.147058824,9,9,0,10,1,0,0,0,46,105,8,23,15,0,0,0,0,4,5,0,0,0,0,2,0,0,10,1,0,0,0,0,42,97,6,30,27,2,1
2171,2235,23,21,11.65217391,10.75,33.5,35.47619048,5.0,8.25,5.476190476,0,0,0,0,1,0,0,0,0,0,0,445,744,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,445,744,168,0,0,0,0,0,0,1
2170,2299,55,56,1.181818182,3.0,9.25,7.157894737,1.0,0.0,0.25,9,6,2,16,14,2,0,0,22,21,7,67,95,7,0,0,0,32,49,2,0,0,0,0,2,0,16,13,2,13,3,0,16,15,5,37,54,9,1
2196,2304,36,44,0.138888889,2.5,13.0,4.24137931,0.0,0.0,0.795454545,10,21,4,0,0,7,0,0,39,97,24,15,5,0,3,0,0,6,3,2,0,0,0,6,7,0,0,0,7,0,0,0,36,93,22,19,20,4,1
2198,2242,9,18,0.333333333,4.5,5.0,5.055555556,5.75,4.5,0.222222222,5,3,0,0,3,0,0,0,35,85,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,34,83,45,6,5,0,1
2155,2228,52,6,0.115384615,2.25,4.25,2.3125,3.75,0.25,0.0,8,5,0,0,0,0,0,3,9,20,9,15,11,5,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,5,5,5,7,16,7,19,12,3,1
2229,2301,6,47,0.0,2.25,9.0,5.3,0.0,0.0,0.021276596,5,8,0,23,48,1,0,0,5,10,0,12,40,0,0,0,0,1,0,0,0,1,0,2,3,0,23,48,1,0,0,0,1,9,0,18,45,0,1
2204,2298,32,37,0.25,1.75,4.0,3.730769231,0.5,1.0,0.135135135,0,4,1,0,36,4,0,0,19,34,1,12,23,5,0,0,0,2,1,0,0,0,0,0,0,0,0,36,4,0,1,0,13,29,1,16,30,6,1
2187,2305,20,86,0.8,2.25,20.0,3.923076923,3.75,5.0,0.558139535,36,18,10,8,0,7,0,1,31,24,60,27,9,5,3,0,0,6,1,1,0,0,0,3,1,0,5,0,7,0,0,1,23,17,53,68,32,21,1
2221,2304,13,57,0.846153846,4.5,11.5,4.214285714,0.75,0.0,0.701754386,15,9,11,0,0,0,0,0,49,48,31,9,1,1,2,1,0,8,6,2,0,0,0,11,7,0,0,0,0,0,0,0,41,44,29,15,2,12,1
2124,2306,79,79,2.430379747,3.25,6.0,6.48,4.25,4.75,7.53164557,15,19,52,10,0,15,0,0,92,129,536,112,6,26,0,8,2,0,10,8,0,2,1,1,3,26,10,0,15,0,0,0,89,114,503,127,34,79,1
2179,2200,18,-11,0.388888889,2.0,0.75,0.6,0.0,0.0,0.0,1,0,0,0,0,0,0,0,7,0,0,10,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,10,9,0,1
2177,2303,19,98,0.789473684,1.75,5.0,2.2,1.0,1.5,0.265306122,7,4,4,4,0,3,0,2,12,6,20,9,8,9,10,2,0,10,2,2,0,1,0,5,2,0,4,0,3,1,4,0,11,6,17,11,8,13,1
2143,2296,95,38,0.494736842,5.25,17.75,6.238095238,0.25,0.5,0.684210526,27,8,0,4,3,0,1,0,92,107,29,15,12,0,1,0,0,4,7,0,0,0,0,0,1,0,4,3,0,0,0,0,89,101,29,42,19,0,1
2200,2306,26,77,0.769230769,6.25,34.75,18.5,1.0,0.25,0.844155844,11,7,2,46,7,47,0,3,54,29,7,70,31,14,0,0,0,18,6,0,0,1,0,0,0,0,46,7,47,5,0,0,32,25,3,83,35,20,1
2226,2300,2,50,0.0,0.0,1.25,0.826086957,1.0,1.25,0.14,5,5,3,0,0,2,0,0,0,12,10,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,5,12,6,1
2202,2294,11,70,1.181818182,6.5,12.5,8.25,7.0,6.5,0.442857143,7,7,2,10,25,12,0,0,24,26,49,48,41,22,0,0,0,2,3,1,0,0,0,1,0,0,10,25,12,0,0,0,21,22,45,55,49,27,1
2181,2299,17,85,0.117647059,2.25,5.25,2.294117647,0.0,0.0,0.117647059,7,13,0,3,0,0,0,3,12,12,10,9,12,0,0,0,0,0,1,0,0,0,0,2,3,0,3,0,0,7,9,0,11,9,10,9,17,0,1
2196,2306,40,62,2.775,8.0,15.0,12.33333333,4.0,3.25,4.85483871,10,6,26,36,34,83,0,0,32,6,86,125,65,135,0,0,0,30,22,79,0,0,1,0,0,0,10,13,18,0,0,0,27,5,67,135,71,166,1
