imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating,avg_sen_score,avg_sen_score_2,avg_sen_score_3,pos_rate,neg_rate,promotion_clusters
tt1673434,292000000,71757.9,224797.0,100116.0,106375.0,2811.53,3635.04,2970.04,2776.69,4832.87,12522.6,6226.51,6958.06,4.79914,8.255777544,10.95729239,0.658358883,0.946685276,0.053314724,1
tt1700844,1100000,0.0,0.0,0.0,353.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,16.0,2.74074,9.854253846,12.19230769,0.370453846,0.769230769,0.230769231,1
tt1706593,65000000,362.033,1130.52,691.385,801.133,144.37,313.696,216.938,221.067,44.3804,46.3333,45.2174,46.3556,3.52874,11.08688265,13.74939759,0.440770602,0.795180723,0.204819277,1
tt1707386,149000000,6739.59,15618.1,10661.3,9835.38,270.275,623.468,427.353,395.017,1213.19,1196.3,1226.24,1090.25,4.54254,7.91086717,11.09109357,0.564949831,0.925366404,0.074633596,1
tt1716777,12000000,38.8642,207.446,79.8584,479.866,4.31482,12.4308,6.34071,24.2213,14.1235,157.985,46.854,199.98,4.14286,16.56011695,19.89830508,0.604855085,0.898305085,0.101694915,1
tt1735898,155000000,2071.78,3080.82,2525.61,2477.72,85.3235,166.431,119.851,133.352,246.216,182.338,228.224,202.886,3.87052,9.748310808,12.1281337,0.607493036,0.885793872,0.114206128,1
tt1753813,72000,12.95,23.3333,12.95,17.2809,1.025,1.58333,1.025,1.55056,2.875,6.41667,2.875,2.73034,2.81818,9.577654545,14.63636364,0.293754545,0.727272727,0.272727273,1
tt1758610,525000,168.263,633.921,168.263,279.903,8.10127,28.8947,8.10127,13.3677,18.1835,68.3421,18.1835,35.5895,4.95556,18.72169659,21.36363636,0.836639773,1.0,0.0,1
tt1764183,7900000,25.2632,217.846,103.5,101.061,4.94737,48.3077,22.5625,22.0,5.05263,36.6923,17.9062,17.3939,3.96104,16.26518,23.64,0.514245333,0.893333333,0.106666667,1
tt1772925,2600000,34.2761,122.404,75.4304,239.323,3.25153,13.3205,8.20253,12.2455,7.1411,15.2051,11.1108,28.9705,4.15789,13.8494,17.6,0.65788,0.9,0.1,1
tt1781769,13000000,280.517,408.567,350.914,368.219,14.9272,18.2622,16.8218,17.0365,48.7417,47.5915,49.1254,47.9362,3.36508,9.275622314,13.58264463,0.450691322,0.892561983,0.107438017,1
tt1787988,2700000,274.765,536.482,337.568,232.27,27.1294,118.778,48.8468,32.5225,58.1294,64.1111,59.9279,39.2753,4.0241,9.079107595,13.44303797,0.501106329,0.911392405,0.088607595,1
tt1790885,96000000,940.0,2191.52,1800.59,1760.78,59.2857,119.519,99.8936,98.7576,184.048,151.847,164.005,159.707,4.35844,3.981032022,9.341370558,0.268598942,0.881556684,0.118443316,1
tt1800741,35000000,1027.36,938.545,965.0,800.118,139.786,45.8485,73.8298,56.9079,856.0,299.909,465.553,337.671,4.47619,21.09921397,26.53676471,0.686513971,0.977941176,0.022058824,1
tt1827512,1400000,0.6875,1.66667,1.31461,1.61856,0.0,0.473684,0.303371,0.319588,0.0,0.157895,0.101124,0.0927835,3.6,5.801681818,6.909090909,0.223181818,0.636363636,0.363636364,1
tt1838544,12000000,252.75,301.667,282.1,270.579,19.5,28.3333,24.8,29.8947,29.0,23.8333,25.9,19.5789,3.6,16.0182623,19.1928663,0.7632697,0.8681862,0.1318138,1
