imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating,avg_sen_score,avg_sen_score_2,avg_sen_score_3,pos_rate,neg_rate,promotion_clusters
tt0383010,44000000,574.549,943.725,643.544,2168.21,103.363,80.8239,97.1878,114.843,66.4434,185.007,91.0698,554.399,4.00343,12.78520325,15.80519481,0.629766667,0.911255411,0.088744589,1
tt0763831,18000000,89.8,189.167,139.714,268.132,23.6,20.8333,22.2857,28.5789,40.5,33.25,37.2857,40.2632,3.9037,21.71187054,28.57142857,0.543930357,0.901785714,0.098214286,2
tt0837562,148000000,3889.3,7153.68,5931.5,7631.09,284.155,316.403,305.211,294.153,358.969,533.848,447.246,523.162,4.42999,10.23989214,13.44186047,0.687133921,0.974338412,0.025661588,1
tt1047540,77000000,193.881,170.363,187.185,187.185,12.3582,13.9375,12.8078,12.8078,14.199,21.0,16.1352,16.1352,4.40452,8.621580679,12.3772846,0.599767885,0.967362924,0.032637076,1
tt1077368,80000000,3683.76,3876.44,3777.69,6042.69,462.146,301.641,383.9,348.955,996.902,634.282,820.125,780.769,3.52991,11.36194411,14.15579357,0.604717429,0.890944499,0.109055501,2
tt1142977,35000000,3131.48,8700.63,5970.18,6284.21,76.5564,250.88,165.361,155.649,454.121,653.848,561.516,570.365,3.91554,9.785018596,12.43508772,0.533624211,0.873684211,0.126315789,2
tt1195478,29000000,86.0377,172.267,117.205,174.342,8.86792,10.7667,9.55422,10.8917,33.6226,14.0333,26.5422,24.4083,3.51707,16.87445842,19.76237624,0.606958416,0.876237624,0.123762376,2
tt1232200,37000000,268.945,2563.24,555.651,1558.39,28.6364,138.588,38.9921,70.7843,49.8091,77.0588,53.2937,63.7059,3.31698,7.440050233,10.57209302,0.371753953,0.772093023,0.227906977,2
tt1232829,138000000,194.628,2520.77,891.858,4126.73,25.734,112.847,49.108,163.11,55.7234,89.6939,61.3636,1044.1,4.40233,13.30694194,16.76671035,0.657377851,0.933158585,0.066841415,1
tt1277953,216000000,1699.75,5729.38,3510.79,5087.36,142.865,225.961,183.051,240.919,365.494,799.221,547.167,670.111,4.46567,14.05701554,17.63140496,0.735090248,0.980165289,0.019834711,2
tt1298649,34000000,164.35,166.354,165.765,264.337,18.3,19.2917,19.0,20.8469,63.8,24.5833,36.1176,32.602,3.14085,9.296870821,11.98784195,0.418440729,0.799392097,0.200607903,2
tt1307068,6600000,23.3897,98.6667,38.0828,68.1321,4.25735,19.5714,6.48521,11.6038,1.82353,12.1905,4.23077,6.90094,3.56552,9.919134426,12.82786885,0.531440984,0.852459016,0.147540984,1
tt1336608,39000000,209.881,1217.23,446.904,850.983,30.2657,121.841,51.8128,64.7787,47.4196,170.273,76.3262,106.519,3.89045,10.84301875,12.71366279,0.689356105,0.912790698,0.087209302,1
tt1397514,104000000,192.662,768.136,437.854,565.426,23.0,62.5932,39.9837,46.2279,28.1538,70.7119,46.8293,51.9559,4.14583,18.0919397,22.09737828,0.708787266,0.962546816,0.037453184,2
tt1405365,3100000,18.0,89.8293,68.5185,131.429,0.5,5.68293,4.07407,6.01681,2.0,10.8049,8.42593,6.91597,3.91667,12.70997429,19.17142857,0.564928571,0.971428571,0.028571429,2
tt1409024,179000000,17.2479,92.7419,33.0608,73.2211,3.94872,20.8065,7.47973,11.9684,2.71795,2.58065,2.68919,2.62456,4.21626,12.73919781,15.76642336,0.689885949,0.954379562,0.045620438,2
tt1412386,46000000,46.6164,398.279,176.974,177.05,16.3836,68.093,35.5517,35.0756,11.1233,57.2558,28.2241,27.7731,4.60656,14.95166497,17.91780822,0.772683366,0.974559687,0.025440313,2
tt1430626,31000000,39.3279,68.2727,47.4253,65.2699,6.5082,9.72727,7.96552,6.42331,9.34426,7.24242,8.65517,8.87117,3.45882,25.75672564,29.52564103,0.653432051,0.884615385,0.115384615,2
tt1435513,1800000,11.0713,39.0394,15.8744,17.7011,2.94455,4.90551,3.31811,3.41426,2.61782,4.56693,2.88581,3.00759,4.36667,11.33652609,14.0,0.516691304,0.826086957,0.173913043,1
tt1441952,9000000,7.7,52.5965,31.6168,74.0286,0.32,5.49123,3.07477,6.77714,2.14,4.73684,3.52336,6.19429,4.27778,26.94538864,30.40909091,0.784868182,0.965909091,0.034090909,2
tt1445520,2000000,0.8,3.71429,1.72727,2.45833,0.0666667,0.571429,0.227273,0.375,0.133333,0.714286,0.318182,0.291667,4.08333,22.09422222,28.66666667,0.649377778,0.888888889,0.111111111,2
tt1456635,4200000,92.0619,144.292,113.747,245.861,22.354,24.1846,23.7338,30.1784,12.3643,7.4718,10.7359,33.7616,4.21429,13.49846,17.8,0.5279,0.9,0.1,1
tt1462769,52000000,505.806,3990.62,2039.88,2020.63,30.4563,156.21,85.8152,84.9624,39.0388,152.988,89.2011,88.371,4.29386,13.43636403,17.26696833,0.627906335,0.943438914,0.056561086,2
tt1477855,6400000,60.2593,101.663,81.6213,83.4302,8.06173,10.8652,9.50296,9.52514,7.98765,14.7753,11.6095,11.6592,3.38298,9.713997849,13.87096774,0.463788172,0.870967742,0.129032258,2
tt1482459,214000000,3.0,28.4321,17.2949,94.5,0.0909091,5.03704,3.20513,14.5203,0.0909091,7.06173,5.65385,15.4189,4.15931,12.8998398,15.90452261,0.690345025,0.946733668,0.053266332,2
tt1535438,64000000,3012.66,2647.36,2871.59,2262.78,308.984,240.614,282.159,195.989,646.938,272.864,497.28,332.659,4.14115,13.59138203,16.30540541,0.701832568,0.939189189,0.060810811,2
tt1540128,13000000,2733.88,5151.14,3333.92,3617.69,192.11,214.686,196.909,237.631,286.824,323.029,293.826,298.756,3.33058,9.226817241,13.13793103,0.396594828,0.853448276,0.146551724,2
tt1586265,41000000,42.0386,160.641,59.0441,98.5266,6.74678,10.1795,7.23897,7.73041,9.07296,36.2564,12.9706,16.0846,3.63333,28.51828315,32.51685393,0.703565169,0.921348315,0.078651685,1
tt1588334,4200000,17.2143,45.1765,32.0345,74.7451,6.0,8.29412,7.44828,8.11765,7.21429,1.05882,4.10345,9.86275,3.91429,30.68098529,43.32352941,0.584229412,0.882352941,0.117647059,2
tt1592281,1200000,9.27536,46.7241,30.1603,40.1053,1.57971,7.0,4.60256,4.93158,0.594203,2.31034,1.55128,2.36316,2.92308,5.35792,12.1,0.22462,0.8,0.2,2
tt1596350,55000000,62.8636,231.148,95.2935,451.268,7.13636,35.6667,14.6413,41.4196,11.3788,23.4074,14.3587,27.7768,4.36024,12.06878971,14.40441176,0.720471029,0.958823529,0.041176471,2
tt1598828,26000000,261.358,425.544,296.149,301.295,52.625,152.656,76.6267,73.2286,23.9826,34.4556,26.2107,25.2333,3.74,11.46807626,13.57344064,0.658804225,0.905432596,0.094567404,1
tt1605630,57000000,3577.24,4509.39,3578.54,4478.82,361.205,274.286,342.652,352.333,342.54,367.714,333.754,363.298,4.51026,14.33543081,17.40810811,0.71300027,0.943243243,0.056756757,1
tt1621045,92000000,478.479,3371.32,924.5,7339.86,36.4726,190.263,65.5165,294.237,129.096,218.026,146.467,646.996,4.83801,12.19747741,15.03208906,0.759902947,0.981008513,0.018991487,2
tt1623288,56000000,172.051,536.882,340.816,383.727,13.7468,32.2206,22.2925,21.701,33.0127,44.0441,38.1156,44.8454,3.53186,9.382108081,13.40909091,0.401506566,0.803030303,0.196969697,2
tt1636826,55000000,242.913,903.136,478.83,1487.98,33.8261,99.5682,58.2857,113.477,42.6087,81.5455,56.0982,124.019,4.357,10.81321771,14.55208333,0.495426563,0.877604167,0.122395833,2
tt1637725,219000000,10824.5,56723.2,29422.1,32777.6,317.984,1289.23,715.625,736.012,1987.44,7441.67,4226.46,4291.43,4.21185,11.31274916,14.48861132,0.603318589,0.901542983,0.098457017,2
tt1645170,60000000,194.383,0.0,194.383,194.383,21.1667,0.0,21.1667,21.1667,44.8333,0.0,44.8333,44.8333,3.39643,13.27221066,17.09926471,0.459811029,0.827205882,0.172794118,2
tt1648179,45000000,1926.49,2503.11,2359.63,2301.38,90.902,51.181,64.34,63.9108,148.392,80.8095,102.647,102.248,4.55787,11.21363234,14.82634731,0.654703992,0.974051896,0.025948104,2
tt1655460,17000000,119.464,212.412,154.578,135.8,16.6071,21.4118,18.4222,15.3143,18.6429,21.1765,19.6,16.0,3.30154,8.97536,11.64,0.450628364,0.807272727,0.192727273,2
tt1663143,9400000,2352.83,4761.41,3403.38,2711.99,87.1887,128.951,105.404,93.291,93.0189,50.3659,74.4149,57.7388,3.65753,12.06326479,15.36619718,0.50884507,0.85915493,0.14084507,2
tt1667889,161000000,1828.72,2754.26,2093.16,2072.56,82.655,96.65,86.6536,87.7211,300.25,452.15,343.65,342.779,4.24479,13.11978709,17.65636364,0.599465455,0.947272727,0.052727273,1
tt1675434,13000000,7.33333,41.3333,37.0833,914.729,7.0,7.57143,7.5,31.2286,0.0,16.7619,14.6667,88.6357,4.90431,12.94781526,16.42631579,0.746122632,0.984210526,0.015789474,2
