first_pub_before_release_week,last_pub_after_out_week,first_pub_before_release,last_pub_after_out,average_post_t1,average_post_t2,average_post_t3,average_post_t4,average_post_t5,average_post_t6,average_post_t7,video_t1,video_t2,video_t3,status_t1,status_t2,status_t3,offer,swf,photo_t1,photo_t2,photo_t3,link_t1,link_t2,link_t3,question_t1,question_t2,question_t3,na_t1,na_t2,na_t3,wall_post,created_note,created_event,added_video_t1,added_video_t2,added_video_t3,mobile_status_update_t1,mobile_status_update_t2,mobile_status_update_t3,app_created_story_t1,app_created_story_t2,app_created_story_t3,added_photos_t1,added_photos_t2,added_photos_t3,shared_story_t1,shared_story_t2,shared_story_t3,promotion_clusters
2176,2260,49,26,0.326530612,5.5,8.75,2.6,3.25,12.75,0.269230769,9,5,10,5,0,0,0,0,42,9,44,16,11,17,1,1,0,5,1,1,0,0,0,1,0,9,5,0,0,0,0,0,38,9,43,24,16,18,0
2180,2296,12,93,1.333333333,3.25,5.5,3.666666667,2.5,3.0,0.290322581,11,6,10,9,7,0,0,0,11,16,30,20,15,8,0,0,1,0,1,1,0,0,0,2,0,0,9,7,0,0,0,0,11,15,22,29,21,26,0
2177,2305,18,105,0.166666667,0.5,4.0,1.833333333,0.25,0.5,0.114285714,3,2,4,0,0,1,0,0,17,9,8,1,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,17,9,6,4,2,4,0
2203,2305,26,63,3.0,14.0,24.5,6.642857143,8.25,0.0,0.031746032,44,25,3,4,0,0,0,4,141,61,23,27,5,6,12,2,3,19,8,6,0,0,0,6,13,0,4,0,0,8,0,0,132,54,20,63,18,9,1
2179,2298,20,84,1.7,9.25,26.0,7.875,1.25,0.0,0.238095238,21,17,3,33,15,2,0,0,19,28,18,96,61,2,6,5,0,6,8,0,0,1,0,5,5,0,33,15,2,0,0,0,17,24,16,114,73,7,0
2190,2253,16,41,0.125,3.0,11.75,5.714285714,0.25,10.0,0.292682927,16,20,11,0,0,2,0,0,23,12,25,18,7,14,4,1,1,5,4,2,0,0,1,3,10,5,0,0,2,0,0,0,19,8,24,33,18,20,0
2183,2303,14,92,0.142857143,0.5,3.5,2.266666667,4.25,0.25,0.130434783,7,10,5,0,6,0,0,2,8,8,15,3,8,10,0,0,0,0,2,1,0,1,0,6,5,2,0,6,0,1,7,2,8,6,15,3,7,10,0
2171,2235,45,6,3.022222222,12.0,14.0,5.0,7.75,3.25,0.0,13,12,1,61,8,9,0,0,108,27,28,58,21,4,0,2,2,61,9,13,1,0,1,0,0,0,32,2,0,0,0,0,73,25,26,72,34,5,0
2167,2285,41,62,0.048780488,0.5,1.25,2.5625,1.0,0.5,0.258064516,2,1,3,1,2,3,0,2,3,24,14,3,12,2,0,0,0,0,2,1,0,0,0,1,0,0,1,2,3,1,5,0,3,22,10,3,10,8,0
2190,2297,14,81,0.357142857,1.5,5.75,3.076923077,4.25,0.0,0.148148148,9,12,3,0,0,2,0,1,18,20,23,5,5,1,2,2,0,7,8,1,0,0,0,0,0,1,0,0,2,0,1,0,13,13,15,14,18,10,0
2171,2294,37,79,0.243243243,1.5,8.25,2.875,1.0,2.75,0.46835443,8,5,4,4,2,0,0,0,15,5,43,15,10,5,6,1,0,11,1,1,0,0,1,3,0,1,0,2,0,0,0,0,13,5,42,20,15,8,0
2222,2305,11,61,1.0,5.25,6.5,1.333333333,0.5,0.5,0.049180328,7,3,1,0,0,0,0,0,48,13,5,2,0,1,1,0,0,4,0,2,0,0,0,6,3,0,0,0,0,0,0,0,46,13,3,2,0,2,0
2206,2244,15,21,2.266666667,7.75,8.75,15.66666667,3.25,0.0,0.19047619,6,0,0,3,1,0,0,0,53,42,14,38,4,3,0,0,0,3,1,1,0,0,0,1,0,0,3,1,0,0,0,0,49,39,13,44,6,3,0
2229,2278,10,34,1.2,11.75,10.5,6.166666667,0.0,0.0,0.294117647,14,6,2,16,0,2,0,0,44,21,5,27,10,1,0,0,0,2,5,1,0,0,0,4,1,0,16,0,2,0,0,0,40,16,4,39,15,3,0
2217,2246,7,8,0.0,1.5,2.25,0.933333333,2.25,0.75,0.0,0,3,0,0,0,0,0,0,11,11,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,14,10,0
2168,2234,33,28,0.181818182,8.5,13.5,7.333333333,0.0,0.0,0.321428571,9,5,5,16,5,0,0,0,10,5,1,57,27,3,2,2,0,2,3,1,0,0,0,1,0,0,16,5,0,5,9,0,6,2,0,64,25,8,0
2098,2305,130,68,1.476923077,7.25,9.25,7.8,11.0,9.25,0.264705882,63,8,11,21,0,3,0,3,82,65,69,89,5,16,0,0,0,10,2,6,0,0,0,43,5,3,14,0,1,37,0,0,79,61,62,75,10,27,1
2198,2306,5,88,0.0,0.25,5.75,4.5,5.5,7.5,0.511363636,4,6,9,1,2,1,0,0,5,6,62,14,58,25,0,0,0,0,1,1,0,0,0,0,0,4,1,2,1,0,0,0,5,5,61,18,64,30,0
2213,2306,19,62,0.526315789,4.75,6.0,3.307692308,2.5,5.25,0.048387097,5,6,2,0,0,0,0,1,48,35,31,0,1,0,0,1,0,0,1,2,0,0,0,4,6,1,0,0,0,0,0,1,48,35,29,1,1,1,0
2198,2293,14,74,1.857142857,2.75,10.5,3.125,1.0,0.0,0.391891892,20,5,7,0,1,1,0,0,10,7,22,49,11,3,0,1,0,3,4,3,0,0,0,3,0,0,0,1,1,0,0,0,7,5,17,66,15,12,0
2157,2306,67,81,0.537313433,15.5,38.0,40.5,25.75,18.75,2.740740741,37,12,127,9,0,0,0,0,161,57,245,40,10,27,3,2,1,18,9,6,0,0,0,0,0,0,9,0,1,1,1,0,139,37,73,83,34,320,1
2070,2306,163,62,3.490797546,6.0,14.5,6.666666667,7.5,1.25,1.822580645,65,16,34,302,3,11,0,0,103,49,88,177,12,14,4,0,1,207,13,21,1,18,11,25,0,21,111,0,0,5,0,0,79,31,75,194,36,31,1
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
