first_pub_before_release_week,last_pub_after_out_week,first_pub_before_release,last_pub_after_out,average_post_t1,average_post_t2,average_post_t3,average_post_t4,average_post_t5,average_post_t6,average_post_t7,video_t1,video_t2,video_t3,status_t1,status_t2,status_t3,offer,swf,photo_t1,photo_t2,photo_t3,link_t1,link_t2,link_t3,question_t1,question_t2,question_t3,na_t1,na_t2,na_t3,wall_post,created_note,created_event,added_video_t1,added_video_t2,added_video_t3,mobile_status_update_t1,mobile_status_update_t2,mobile_status_update_t3,app_created_story_t1,app_created_story_t2,app_created_story_t3,added_photos_t1,added_photos_t2,added_photos_t3,shared_story_t1,shared_story_t2,shared_story_t3,promotion_clusters
2096,2306,110,83,3.190909091,5.75,12.5,7.888888889,3.75,9.75,8.048192771,36,19,7,52,18,81,0,0,151,83,578,182,21,56,3,1,0,14,9,83,1,0,0,11,17,0,43,11,22,4,0,0,148,81,447,203,24,170,1
2184,2257,17,44,0.117647059,0.0,2.0,1.076923077,2.75,0.0,0.068181818,6,4,0,2,2,0,0,0,1,5,13,1,3,1,0,0,0,0,3,0,0,0,0,3,2,0,2,0,0,0,0,0,1,4,13,4,5,1,2
2208,2306,22,55,1.681818182,5.25,9.75,8.727272727,0.0,0.5,1.109090909,7,8,5,0,0,0,0,0,87,167,54,3,16,4,0,1,0,1,4,0,0,0,0,2,5,0,0,0,0,0,0,0,83,156,44,11,27,19,1
2208,2262,35,-2,2.542857143,8.5,19.5,3.636363636,0.0,0.0,0.0,35,2,0,2,3,0,0,0,89,49,0,71,26,0,4,0,0,5,4,0,0,0,0,0,0,0,2,3,0,0,0,0,83,43,0,111,30,0,1
2194,2298,16,74,0.125,3.5,6.25,2.8,3.25,6.25,0.175675676,7,11,4,0,0,3,0,0,18,14,39,16,17,5,0,0,0,1,2,1,0,0,0,0,1,0,0,0,3,0,0,1,16,11,35,24,28,11,2
2173,2302,58,50,1.017241379,4.5,11.75,5.727272727,1.0,1.5,0.44,15,13,0,2,1,2,0,5,58,110,29,44,2,1,0,0,0,2,5,1,0,0,0,1,0,0,2,1,2,23,0,0,49,104,28,47,16,1,2
2188,2304,20,89,0.55,2.75,7.75,3.75,0.75,0.75,0.348314607,11,5,10,0,1,1,0,1,8,7,20,33,17,6,0,0,0,2,1,1,0,1,0,4,2,1,0,0,1,5,0,0,6,7,19,36,20,14,2
2198,2297,17,76,2.235294118,8.25,9.75,2.571428571,0.75,3.25,0.789473684,24,2,11,9,0,0,0,2,58,13,47,11,3,18,6,0,0,12,0,1,0,0,0,6,0,6,9,0,0,2,0,0,42,13,45,39,5,24,2
2182,2303,20,86,0.4,7.25,14.25,6.125,1.5,0.0,0.976744186,31,20,7,0,3,1,0,1,32,42,78,27,32,4,3,1,0,4,2,1,0,0,0,14,10,3,0,3,1,4,0,0,30,40,62,42,43,23,1
2121,2306,93,73,0.451612903,2.25,9.5,4.35,1.5,0.75,0.671232877,15,20,7,2,1,1,0,0,49,51,44,23,15,6,0,0,0,3,2,1,0,0,0,0,3,1,2,1,1,0,0,0,45,49,42,39,32,13,2
